"Journal Data Filtered By:  Selected Categories: Multiple Selected Editions: SCIE;SSCI;AHCI;ESCI Selected JCR Year: 2022 Selected Category Schema: WOS Selected Open Access: N Indicator: Default"

Journal name,JCR Abbreviation,ISSN,eISSN,Category,Total Citations,2022 JIF,JIF Quartile,2022 JCI,% of OA Gold
"Lancet Respiratory Medicine","LANCET RESP MED","2213-2600","N/A","CRITICAL CARE MEDICINE - SCIE","26,770","76.2","Q1","11.75","21.55"%,
"INTENSIVE CARE MEDICINE","INTENS CARE MED","0342-4642","1432-1238","CRITICAL CARE MEDICINE - SCIE","32,807","38.9","Q1","3.95","26.77"%,
"AMERICAN JOURNAL OF RESPIRATORY AND CRITICAL CARE MEDICINE","AM J RESP CRIT CARE","1073-449X","1535-4970","CRITICAL CARE MEDICINE - SCIE","73,439","24.7","Q1","4.15","25.46"%,
"PERIODONTOLOGY 2000","PERIODONTOL 2000","0906-6713","1600-0757","DENTISTRY, ORAL SURGERY & MEDICINE - SCIE","8,442","18.6","Q1","3.17","22.88"%,
"CRITICAL CARE","CRIT CARE","1364-8535","1466-609X","CRITICAL CARE MEDICINE - SCIE","36,992","15.1","Q1","1.97","99.68"%,
"International Journal of Oral Science","INT J ORAL SCI","1674-2818","2049-3169","DENTISTRY, ORAL SURGERY & MEDICINE - SCIE","3,155","14.9","Q1","6.03","100"%,
"JOURNAL OF THE AMERICAN ACADEMY OF DERMATOLOGY","J AM ACAD DERMATOL","0190-9622","1097-6787","DERMATOLOGY - SCIE","37,317","13.8","Q1","3.62","14.45"%,
"JAMA Dermatology","JAMA DERMATOL","2168-6068","2168-6084","DERMATOLOGY - SCIE","9,122","10.9","Q1","3.29","10.53"%,
"BRITISH JOURNAL OF DERMATOLOGY","BRIT J DERMATOL","0007-0963","1365-2133","DERMATOLOGY - SCIE","31,851","10.3","Q1","2.91","36.59"%,
"CHEST","CHEST","0012-3692","1931-3543","CRITICAL CARE MEDICINE - SCIE","55,570","10.1","Q1","1.97","15.72"%,
"JOURNAL OF THE EUROPEAN ACADEMY OF DERMATOLOGY AND VENEREOLOGY","J EUR ACAD DERMATOL","0926-9959","1468-3083","DERMATOLOGY - SCIE","19,527","9.2","Q1","1.73","31.33"%,
"CRITICAL CARE MEDICINE","CRIT CARE MED","0090-3493","1530-0293","CRITICAL CARE MEDICINE - SCIE","44,150","8.8","Q1","1.61","10.32"%,
"Annals of Intensive Care","ANN INTENSIVE CARE","2110-5820","2110-5820","CRITICAL CARE MEDICINE - SCIE","6,083","8.1","Q1","1.43","99.5"%,
"JOURNAL OF DENTAL RESEARCH","J DENT RES","0022-0345","1544-0591","DENTISTRY, ORAL SURGERY & MEDICINE - SCIE","25,849","7.6","Q1","2.89","16.85"%,
"AMERICAN JOURNAL OF CLINICAL DERMATOLOGY","AM J CLIN DERMATOL","1175-0561","1179-1888","DERMATOLOGY - SCIE","5,094","7.3","Q1","2.07","34.02"%,
"Journal of Intensive Care","J INTENSIVE CARE","2052-0492","2052-0492","CRITICAL CARE MEDICINE - SCIE","2,530","7.1","Q1","1.04","100"%,
"Annual Review of Criminology","ANNU REV CRIMINOL","2572-4568","2572-4568","CRIMINOLOGY & PENOLOGY - SSCI","859","6.9","Q1","3.6","1.92"%,
"JOURNAL OF CLINICAL PERIODONTOLOGY","J CLIN PERIODONTOL","0303-6979","1600-051X","DENTISTRY, ORAL SURGERY & MEDICINE - SCIE","19,675","6.7","Q1","2.62","25.89"%,
"Japanese Dental Science Review","JPN DENT SCI REV","1882-7616","2213-6851","DENTISTRY, ORAL SURGERY & MEDICINE - SCIE","1,066","6.6","Q1","1.36","96.63"%,
"JOURNAL OF INVESTIGATIVE DERMATOLOGY","J INVEST DERMATOL","0022-202X","1523-1747","DERMATOLOGY - SCIE","35,691","6.5","Q1","2.42","66.97"%,
"RESUSCITATION","RESUSCITATION","0300-9572","1873-1570","CRITICAL CARE MEDICINE - SCIE","18,032","6.5","Q2","1.87","19.63"%,
"Trauma Violence & Abuse","TRAUMA VIOLENCE ABUS","1524-8380","1552-8324","CRIMINOLOGY & PENOLOGY - SSCI","6,116","6.4","Q1","1.5","15.38"%,
