"Journal Data Filtered By:  Selected Categories: Multiple Selected Editions: SCIE;SSCI;AHCI;ESCI Selected JCR Year: 2022 Selected Category Schema: WOS Selected Open Access: N Indicator: Default"

Journal name,JCR Abbreviation,ISSN,eISSN,Category,Total Citations,2022 JIF,JIF Quartile,2022 JCI,% of OA Gold
"ADVANCES IN PHYSICS","ADV PHYS","0001-8732","1460-6976","PHYSICS, CONDENSED MATTER - SCIE","6,166","54.8","Q1","1.37","0"%,
"REVIEWS OF MODERN PHYSICS","REV MOD PHYS","0034-6861","1539-0756","PHYSICS, MULTIDISCIPLINARY - SCIE","59,661","44","Q1","4.8","11.22"%,
"NATURE MATERIALS","NAT MATER","1476-1122","1476-4660","PHYSICS, CONDENSED MATTER - SCIE","112,359","41.2","Q1","6.64","4.43"%,
"Living Reviews in Relativity","LIVING REV RELATIV","2367-3613","1433-8351","PHYSICS, PARTICLES & FIELDS - SCIE","3,705","40.6","Q1","6.34","100"%,
"Nature Reviews Physics","NAT REV PHYS","N/A","2522-5820","PHYSICS, MULTIDISCIPLINARY - SCIE","5,880","38.5","Q1","2.6","1.48"%,
"PHYSIOLOGICAL REVIEWS","PHYSIOL REV","0031-9333","1522-1210","PHYSIOLOGY - SCIE","38,846","33.6","Q1","5.59","18.64"%,
"PHYSICS REPORTS-REVIEW SECTION OF PHYSICS LETTERS","PHYS REP","0370-1573","1873-6270","PHYSICS, MULTIDISCIPLINARY - SCIE","33,731","29.9","Q1","2.65","41.98"%,
"ADVANCED MATERIALS","ADV MATER","0935-9648","1521-4095","PHYSICS, CONDENSED MATTER - SCIE","369,915","29.4","Q1","4.07","12.55"%,
"Advanced Energy Materials","ADV ENERGY MATER","1614-6832","1614-6840","PHYSICS, CONDENSED MATTER - SCIE","122,806","27.8","Q1","3.68","14.09"%,
"Annual Review of Fluid Mechanics","ANNU REV FLUID MECH","0066-4189","1545-4479","PHYSICS, FLUIDS & PLASMAS - SCIE","16,464","27.7","Q1","2.56","0"%,
"Annual Review of Condensed Matter Physics","ANNU REV CONDEN MA P","1947-5454","1947-5462","PHYSICS, CONDENSED MATTER - SCIE","4,755","22.6","Q1","1.1","0"%,
"Nature Physics","NAT PHYS","1745-2473","1745-2481","PHYSICS, MULTIDISCIPLINARY - SCIE","48,759","19.5","Q1","4.67","10.6"%,
"ADVANCED FUNCTIONAL MATERIALS","ADV FUNCT MATER","1616-301X","1616-3028","PHYSICS, CONDENSED MATTER - SCIE","219,990","19","Q1","2.64","10.28"%,
"Annual Review of Physiology","ANNU REV PHYSIOL","0066-4278","1545-1585","PHYSIOLOGY - SCIE","11,812","18.2","Q1","2.49","2.7"%,
"REPORTS ON PROGRESS IN PHYSICS","REP PROG PHYS","0034-4885","1361-6633","PHYSICS, MULTIDISCIPLINARY - SCIE","21,047","18.1","Q1","1.61","0"%,
"Small","SMALL","1613-6810","1613-6829","PHYSICS, CONDENSED MATTER - SCIE","106,155","13.3","Q1","1.86","9.15"%,
"Physical Review X","PHYS REV X","2160-3308","2160-3308","PHYSICS, MULTIDISCIPLINARY - SCIE","27,483","12.5","Q1","3.61","99.21"%,
"Annual Review of Nuclear and Particle Science","ANNU REV NUCL PART S","0163-8998","1545-4134","PHYSICS, NUCLEAR - SCIE","3,525","12.3","Q1","2.16","68.52"%,
"Annual Review of Nuclear and Particle Science","ANNU REV NUCL PART S","0163-8998","1545-4134","PHYSICS, PARTICLES & FIELDS - SCIE","3,525","12.3","Q1","2.16","68.52"%,
"Laser & Photonics Reviews","LASER PHOTONICS REV","1863-8880","1863-8899","PHYSICS, CONDENSED MATTER - SCIE","12,873","11","Q1","2.03","14.03"%,
"CURRENT OPINION IN SOLID STATE & MATERIALS SCIENCE","CURR OPIN SOLID ST M","1359-0286","1879-0348","PHYSICS, CONDENSED MATTER - SCIE","5,144","11","Q1","0.69","33.33"%,
"NANO LETTERS","NANO LETT","1530-6984","1530-6992","PHYSICS, CONDENSED MATTER - SCIE","167,856","10.8","Q1","1.86","8.03"%,
"CRITICAL REVIEWS IN SOLID STATE AND MATERIALS SCIENCES","CRIT REV SOLID STATE","1040-8436","1547-6561","PHYSICS, CONDENSED MATTER - SCIE","2,485","10.8","Q1","0.54","3.33"%,
"JOURNAL OF PINEAL RESEARCH","J PINEAL RES","0742-3098","1600-079X","PHYSIOLOGY - SCIE","12,955","10.3","Q1","2.44","19.34"%,
"SURFACE SCIENCE REPORTS","SURF SCI REP","0167-5729","1879-274X","PHYSICS, CONDENSED MATTER - SCIE","3,923","9.8","Q1","0.53","36.84"%,
"PRX Quantum","PRX QUANTUM","N/A","2691-3399","PHYSICS, MULTIDISCIPLINARY - SCIE","3,195","9.7","Q1","2.4","95.3"%,
"PROGRESS IN PARTICLE AND NUCLEAR PHYSICS","PROG PART NUCL PHYS","0146-6410","1873-2224","PHYSICS, NUCLEAR - SCIE","4,992","9.5","Q1","2.13","37.96"%,
"PROGRESS IN PARTICLE AND NUCLEAR PHYSICS","PROG PART NUCL PHYS","0146-6410","1873-2224","PHYSICS, PARTICLES & FIELDS - SCIE","4,992","9.5","Q1","2.13","37.96"%,
"Cell Reports Physical Science","CELL REP PHYS SCI","N/A","2666-3864","PHYSICS, MULTIDISCIPLINARY - SCIE","5,365","8.9","Q1","1.38","97.63"%,
"International Journal of Behavioral Nutrition and Physical Activity","INT J BEHAV NUTR PHY","N/A","1479-5868","PHYSIOLOGY - SCIE","16,256","8.7","Q1","1.67","99.58"%,
"PHYSICAL REVIEW LETTERS","PHYS REV LETT","0031-9007","1079-7114","PHYSICS, MULTIDISCIPLINARY - SCIE","491,576","8.6","Q1","2.28","24.4"%,
