"Journal Data Filtered By:  Selected Categories: Multiple Selected Editions: SCIE;SSCI;AHCI;ESCI Selected JCR Year: 2022 Selected Category Schema: WOS Selected Open Access: N Indicator: Default"

Journal name,JCR Abbreviation,ISSN,eISSN,Category,Total Citations,2022 JIF,JIF Quartile,2022 JCI,% of OA Gold
"Annual Review of Animal Biosciences","ANNU REV ANIM BIOSCI","2165-8102","2165-8110","AGRICULTURE, DAIRY & ANIMAL SCIENCE - SCIE","1,994","12","Q1","5.53","6.67"%,
"BIORESOURCE TECHNOLOGY","BIORESOURCE TECHNOL","0960-8524","1873-2976","AGRICULTURAL ENGINEERING - SCIE","187,134","11.4","Q1","1.79","7.62"%,
"CANADIAN JOURNAL OF AGRICULTURAL ECONOMICS-REVUE CANADIENNE D AGROECONOMIE","CAN J AGR ECON","0008-3976","1744-7976","AGRICULTURAL ECONOMICS & POLICY - SCIE","1,456","9","Q1","2.77","7.22"%,
"COMPUTERS AND ELECTRONICS IN AGRICULTURE","COMPUT ELECTRON AGR","0168-1699","1872-7107","AGRICULTURE, MULTIDISCIPLINARY - SCIE","31,979","8.3","Q1","1.93","14.55"%,
"Agronomy for Sustainable Development","AGRON SUSTAIN DEV","1774-0746","1773-0155","AGRONOMY - SCIE","9,598","7.3","Q1","1.15","50.21"%,
"Journal of Animal Science and Biotechnology","J ANIM SCI BIOTECHNO","1674-9782","2049-1891","AGRICULTURE, DAIRY & ANIMAL SCIENCE - SCIE","5,446","7","Q1","2.44","99.74"%,
"POSTHARVEST BIOLOGY AND TECHNOLOGY","POSTHARVEST BIOL TEC","0925-5214","1873-2356","AGRONOMY - SCIE","21,271","7","Q1","2.07","10.1"%,
"Agricultural Water Management","AGR WATER MANAGE","0378-3774","1873-2283","AGRONOMY - SCIE","30,625","6.7","Q1","1.93","20.04"%,
"AGRICULTURAL SYSTEMS","AGR SYST","0308-521X","1873-2267","AGRICULTURE, MULTIDISCIPLINARY - SCIE","12,457","6.6","Q1","2.3","44.04"%,
"Chemical and Biological Technologies in Agriculture","CHEM BIOL TECHNOL AG","N/A","2196-5641","AGRICULTURE, MULTIDISCIPLINARY - SCIE","1,604","6.6","Q1","1.87","100"%,
"AGRICULTURE ECOSYSTEMS & ENVIRONMENT","AGR ECOSYST ENVIRON","0167-8809","1873-2305","AGRICULTURE, MULTIDISCIPLINARY - SCIE","33,665","6.6","Q1","1.71","22.94"%,
"Crop Journal","CROP J","2095-5421","2214-5141","AGRONOMY - SCIE","4,496","6.6","Q1","1.66","93.41"%,
"FOOD POLICY","FOOD POLICY","0306-9192","1873-5657","AGRICULTURAL ECONOMICS & POLICY - SCIE","10,574","6.5","Q1","1.84","42.55"%,
"Plant Phenomics","PLANT PHENOMICS","2643-6515","2643-6515","AGRONOMY - SCIE","642","6.5","Q1","1.59","90"%,
"Animal Nutrition","ANIM NUTR","2405-6383","2405-6545","AGRICULTURE, DAIRY & ANIMAL SCIENCE - SCIE","3,714","6.3","Q1","2.11","89.08"%,
"PRECISION AGRICULTURE","PRECIS AGRIC","1385-2256","1573-1618","AGRICULTURE, MULTIDISCIPLINARY - SCIE","4,722","6.2","Q1","2.02","27.76"%,
"AGRICULTURAL AND FOREST METEOROLOGY","AGR FOREST METEOROL","0168-1923","1873-2240","AGRONOMY - SCIE","29,717","6.2","Q1","1.91","26.48"%,
"JOURNAL OF AGRICULTURAL AND FOOD CHEMISTRY","J AGR FOOD CHEM","0021-8561","1520-5118","AGRICULTURE, MULTIDISCIPLINARY - SCIE","151,538","6.1","Q1","1.39","3.75"%,
"BIOMASS & BIOENERGY","BIOMASS BIOENERG","0961-9534","1873-2909","AGRICULTURAL ENGINEERING - SCIE","23,393","6","Q1","0.98","17.5"%,
"ANNALS OF AGRICULTURAL SCIENCES","ANN AGR SCI-CAIRO","0570-1783","2090-8377","AGRICULTURE, MULTIDISCIPLINARY - SCIE","1,583","5.9","Q1","1.59","98.7"%,
"INDUSTRIAL CROPS AND PRODUCTS","IND CROP PROD","0926-6690","1872-633X","AGRICULTURAL ENGINEERING - SCIE","52,457","5.9","Q1","1.51","8.86"%,
"INDUSTRIAL CROPS AND PRODUCTS","IND CROP PROD","0926-6690","1872-633X","AGRONOMY - SCIE","52,457","5.9","Q1","1.51","8.86"%,
"FIELD CROPS RESEARCH","FIELD CROP RES","0378-4290","1872-6852","AGRONOMY - SCIE","27,656","5.8","Q1","1.96","19.9"%,
"Applied Economic Perspectives and Policy","APPL ECON PERSPECT P","2040-5790","2040-5804","AGRICULTURAL ECONOMICS & POLICY - SCIE","2,389","5.8","Q1","1.82","20.94"%,
"Annual Review of Resource Economics","ANNU REV RESOUR ECON","1941-1340","1941-1359","AGRICULTURAL ECONOMICS & POLICY - SCIE","1,665","5.8","Q1","1.69","9.09"%,
"Global Change Biology Bioenergy","GCB BIOENERGY","1757-1693","1757-1707","AGRONOMY - SCIE","4,854","5.6","Q1","1.11","81.98"%,
"Rice","RICE","1939-8425","1939-8433","AGRONOMY - SCIE","4,236","5.5","Q1","1.69","99.19"%,
"THEORETICAL AND APPLIED GENETICS","THEOR APPL GENET","0040-5752","1432-2242","AGRONOMY - SCIE","25,634","5.4","Q1","1.41","28.85"%,
"EUROPEAN JOURNAL OF AGRONOMY","EUR J AGRON","1161-0301","1873-7331","AGRONOMY - SCIE","11,570","5.2","Q1","1.83","24.41"%,
