"Journal Data Filtered By:  Selected Categories: Multiple Selected Editions: SCIE;SSCI;AHCI;ESCI Selected JCR Year: 2022 Selected Category Schema: WOS Selected Open Access: N Indicator: Default"

Journal name,JCR Abbreviation,ISSN,eISSN,Category,Total Citations,2022 JIF,JIF Quartile,2022 JCI,% of OA Gold
"NATURE MEDICINE","NAT MED","1078-8956","1546-170X","MEDICINE, RESEARCH & EXPERIMENTAL - SCIE","139,574","82.9","Q1","14.06","28.1"%,
"Nature Climate Change","NAT CLIM CHANGE","1758-678X","1758-6798","METEOROLOGY & ATMOSPHERIC SCIENCES - SCIE","45,022","30.7","Q1","5.18","10.24"%,
"Journal of Magnesium and Alloys","J MAGNES ALLOY","2213-9567","2213-9567","METALLURGY & METALLURGICAL ENGINEERING - SCIE","9,623","17.6","Q1","2.64","92.18"%,
"Science Translational Medicine","SCI TRANSL MED","1946-6234","1946-6242","MEDICINE, RESEARCH & EXPERIMENTAL - SCIE","52,013","17.1","Q1","3.39","6.32"%,
"Med","MED-CAMBRIDGE","2666-6340","2666-6340","MEDICINE, RESEARCH & EXPERIMENTAL - ESCI","1,494","17","N/A","4.92","67.5"%,
"JOURNAL OF CLINICAL INVESTIGATION","J CLIN INVEST","0021-9738","1558-8238","MEDICINE, RESEARCH & EXPERIMENTAL - SCIE","128,432","15.9","Q1","3.68","35.14"%,
"JOURNAL OF EXPERIMENTAL MEDICINE","J EXP MED","0022-1007","1540-9538","MEDICINE, RESEARCH & EXPERIMENTAL - SCIE","70,263","15.3","Q1","3.06","99.14"%,
"Cell Reports Medicine","CELL REP MED","2666-3791","2666-3791","MEDICINE, RESEARCH & EXPERIMENTAL - SCIE","4,157","14.3","Q1","2.85","90.16"%,
"TRENDS IN MOLECULAR MEDICINE","TRENDS MOL MED","1471-4914","1471-499X","MEDICINE, RESEARCH & EXPERIMENTAL - SCIE","13,691","13.6","Q1","1.41","20.78"%,
"EXPERIMENTAL AND MOLECULAR MEDICINE","EXP MOL MED","1226-3613","2092-6413","MEDICINE, RESEARCH & EXPERIMENTAL - SCIE","13,641","12.8","Q1","1.56","100"%,
"MOLECULAR THERAPY","MOL THER","1525-0016","1525-0024","MEDICINE, RESEARCH & EXPERIMENTAL - SCIE","27,418","12.4","Q1","2.72","93.36"%,
"Theranostics","THERANOSTICS","1838-7640","1838-7640","MEDICINE, RESEARCH & EXPERIMENTAL - SCIE","38,919","12.4","Q1","2.56","99.5"%,
"Earth System Science Data","EARTH SYST SCI DATA","1866-3508","1866-3516","METEOROLOGY & ATMOSPHERIC SCIENCES - SCIE","11,547","11.4","Q1","2.38","99.47"%,
"EMBO Molecular Medicine","EMBO MOL MED","1757-4676","1757-4684","MEDICINE, RESEARCH & EXPERIMENTAL - SCIE","12,845","11.1","Q1","2.33","58.27"%,
"EBioMedicine","EBIOMEDICINE","2352-3964","2352-3964","MEDICINE, RESEARCH & EXPERIMENTAL - SCIE","25,298","11.1","Q1","2.31","90.01"%,
"Biomarker Research","BIOMARK RES","N/A","2050-7771","MEDICINE, RESEARCH & EXPERIMENTAL - SCIE","2,839","11.1","Q1","1.45","100"%,
"JOURNAL OF BIOMEDICAL SCIENCE","J BIOMED SCI","1021-7770","1423-0127","MEDICINE, RESEARCH & EXPERIMENTAL - SCIE","8,849","11","Q1","1.37","98.97"%,
"Journal of Materials Science & Technology","J MATER SCI TECHNOL","1005-0302","1941-1162","METALLURGY & METALLURGICAL ENGINEERING - SCIE","35,238","10.9","Q1","2.24","3.13"%,
"Clinical and Translational Medicine","CLIN TRANSL MED","2001-1326","2001-1326","MEDICINE, RESEARCH & EXPERIMENTAL - SCIE","5,458","10.6","Q1","1.62","59.71"%,
"MOLECULAR ASPECTS OF MEDICINE","MOL ASPECTS MED","0098-2997","1872-9452","MEDICINE, RESEARCH & EXPERIMENTAL - SCIE","9,129","10.6","Q1","1.52","26.62"%,
"Annual Review of Medicine","ANNU REV MED","0066-4219","1545-326X","MEDICINE, RESEARCH & EXPERIMENTAL - SCIE","7,460","10.5","Q1","1.71","3.16"%,
"MedComm","MEDCOMM","N/A","2688-2663","MEDICINE, RESEARCH & EXPERIMENTAL - ESCI","940","9.9","N/A","1.55","59.86"%,
"Current Climate Change Reports","CURR CLIM CHANGE REP","2198-6061","2198-6061","METEOROLOGY & ATMOSPHERIC SCIENCES - SCIE","1,930","9.5","Q1","1.91","46.67"%,
"ACTA MATERIALIA","ACTA MATER","1359-6454","1873-2453","METALLURGY & METALLURGICAL ENGINEERING - SCIE","115,434","9.4","Q1","1.95","35.13"%,
"npj Vaccines","NPJ VACCINES","N/A","2059-0105","MEDICINE, RESEARCH & EXPERIMENTAL - SCIE","3,551","9.2","Q1","1.73","100"%,
"Wiley Interdisciplinary Reviews-Climate Change","WIRES CLIM CHANGE","1757-7780","1757-7799","METEOROLOGY & ATMOSPHERIC SCIENCES - SCIE","6,341","9.2","Q1","1.28","44.89"%,
"npj Climate and Atmospheric Science","NPJ CLIM ATMOS SCI","2397-3722","2397-3722","METEOROLOGY & ATMOSPHERIC SCIENCES - SCIE","2,206","9","Q1","1.82","99.51"%,
"QUARTERLY JOURNAL OF THE ROYAL METEOROLOGICAL SOCIETY","Q J ROY METEOR SOC","0035-9009","1477-870X","METEOROLOGY & ATMOSPHERIC SCIENCES - SCIE","22,874","8.9","Q1","1.35","38.72"%,
"Molecular Therapy-Nucleic Acids","MOL THER-NUCL ACIDS","2162-2531","2162-2531","MEDICINE, RESEARCH & EXPERIMENTAL - SCIE","14,084","8.8","Q1","2.08","91.71"%,
"RARE METALS","RARE METALS","1001-0521","1867-7185","METALLURGY & METALLURGICAL ENGINEERING - SCIE","9,122","8.8","Q1","1.3","0.5"%,
"Wiley Interdisciplinary Reviews-Nanomedicine and Nanobiotechnology","WIRES NANOMED NANOBI","1939-5116","1939-0041","MEDICINE, RESEARCH & EXPERIMENTAL - SCIE","4,578","8.6","Q1","0.74","13.69"%,
"CORROSION SCIENCE","CORROS SCI","0010-938X","1879-0496","METALLURGY & METALLURGICAL ENGINEERING - SCIE","62,302","8.3","Q1","1.68","14.27"%,
"Earths Future","EARTHS FUTURE","N/A","2328-4277","METEOROLOGY & ATMOSPHERIC SCIENCES - SCIE","6,849","8.2","Q1","1.71","71.43"%,
"Inflammation and Regeneration","INFLAMM REGEN","N/A","1880-8190","MEDICINE, RESEARCH & EXPERIMENTAL - SCIE","1,392","8.1","Q1","0.91","100"%,
"Frontiers of Medicine","FRONT MED-PRC","2095-0217","2095-0225","MEDICINE, RESEARCH & EXPERIMENTAL - SCIE","3,240","8.1","Q1","0.84","13.62"%,
"JCI Insight","JCI INSIGHT","N/A","2379-3708","MEDICINE, RESEARCH & EXPERIMENTAL - SCIE","24,317","8","Q1","1.98","99.14"%,
"BULLETIN OF THE AMERICAN METEOROLOGICAL SOCIETY","B AM METEOROL SOC","0003-0007","1520-0477","METEOROLOGY & ATMOSPHERIC SCIENCES - SCIE","28,731","8","Q1","1.79","8.39"%,
"Weather and Climate Extremes","WEATHER CLIM EXTREME","2212-0947","2212-0947","METEOROLOGY & ATMOSPHERIC SCIENCES - SCIE","3,343","8","Q1","1.59","91.86"%,
"Communications Earth & Environment","COMMUN EARTH ENVIRON","N/A","2662-4435","METEOROLOGY & ATMOSPHERIC SCIENCES - SCIE","2,737","7.9","Q1","1.67","99.66"%,
"Wiley Interdisciplinary Reviews-Systems Biology and Medicine","WIRES SYST BIOL MED","1939-5094","1939-005X","MEDICINE, RESEARCH & EXPERIMENTAL - SCIE","1,615","7.9","Q1","1.09","29.03"%,
"Translational Research","TRANSL RES","1931-5244","1878-1810","MEDICINE, RESEARCH & EXPERIMENTAL - SCIE","6,585","7.8","Q1","2.14","23.28"%,
"Vaccines","VACCINES-BASEL","N/A","2076-393X","MEDICINE, RESEARCH & EXPERIMENTAL - SCIE","23,664","7.8","Q1","1.44","99.45"%,
"ARCHIVES OF MEDICAL RESEARCH","ARCH MED RES","0188-4409","1873-5487","MEDICINE, RESEARCH & EXPERIMENTAL - SCIE","5,141","7.7","Q1","1.11","5.2"%,
"BIOMEDICINE & PHARMACOTHERAPY","BIOMED PHARMACOTHER","0753-3322","1950-6007","MEDICINE, RESEARCH & EXPERIMENTAL - SCIE","61,717","7.5","Q1","1.62","95.21"%,
"Stem Cell Research & Therapy","STEM CELL RES THER","N/A","1757-6512","MEDICINE, RESEARCH & EXPERIMENTAL - SCIE","21,944","7.5","Q1","1.36","99.68"%,
"Journal of Translational Medicine","J TRANSL MED","N/A","1479-5876","MEDICINE, RESEARCH & EXPERIMENTAL - SCIE","23,210","7.4","Q1","1.49","99.8"%,
"Advances in Climate Change Research","ADV CLIM CHANG RES","1674-9278","1674-9278","METEOROLOGY & ATMOSPHERIC SCIENCES - SCIE","2,302","7.4","Q1","1.16","92.75"%,
"Earth Systems and Environment","EARTH SYST ENVIRON","2509-9426","2509-9434","METEOROLOGY & ATMOSPHERIC SCIENCES - ESCI","1,568","7.2","N/A","1.39","29"%,
"Journal of Advances in Modeling Earth Systems","J ADV MODEL EARTH SY","N/A","1942-2466","METEOROLOGY & ATMOSPHERIC SCIENCES - SCIE","9,457","6.8","Q1","1.55","74.89"%,
"Environmental Research Letters","ENVIRON RES LETT","1748-9326","1748-9326","METEOROLOGY & ATMOSPHERIC SCIENCES - SCIE","41,950","6.7","Q1","1.21","98.79"%,
"EPMA Journal","EPMA J","1878-5077","1878-5085","MEDICINE, RESEARCH & EXPERIMENTAL - SCIE","1,628","6.5","Q1","1.27","48.72"%,
"Urban Climate","URBAN CLIM","2212-0955","2212-0955","METEOROLOGY & ATMOSPHERIC SCIENCES - SCIE","6,801","6.4","Q1","1.27","14.85"%,
"CANCER GENE THERAPY","CANCER GENE THER","0929-1903","1476-5500","MEDICINE, RESEARCH & EXPERIMENTAL - SCIE","4,880","6.4","Q1","1.24","28.27"%,
"Journal of Materials Research and Technology-JMR&T","J MATER RES TECHNOL","2238-7854","2214-0697","METALLURGY & METALLURGICAL ENGINEERING - SCIE","28,475","6.4","Q1","1.22","96.34"%,
"MATERIALS SCIENCE AND ENGINEERING A-STRUCTURAL MATERIALS PROPERTIES MICROSTRUCTURE AND PROCESSING","MAT SCI ENG A-STRUCT","0921-5093","1873-4936","METALLURGY & METALLURGICAL ENGINEERING - SCIE","124,446","6.4","Q1","1.17","10.58"%,
"ATMOSPHERIC CHEMISTRY AND PHYSICS","ATMOS CHEM PHYS","1680-7316","1680-7324","METEOROLOGY & ATMOSPHERIC SCIENCES - SCIE","70,858","6.3","Q1","1.32","98.85"%,
"Progress in Disaster Science","PROG DISASTER SCI","2590-0617","2590-0617","METEOROLOGY & ATMOSPHERIC SCIENCES - ESCI","1,150","6.3","N/A","1.28","93.5"%,
"AGRICULTURAL AND FOREST METEOROLOGY","AGR FOREST METEOROL","0168-1923","1873-2240","METEOROLOGY & ATMOSPHERIC SCIENCES - SCIE","29,717","6.2","Q1","1.91","26.48"%,
"Journal of Alloys and Compounds","J ALLOY COMPD","0925-8388","1873-4669","METALLURGY & METALLURGICAL ENGINEERING - SCIE","198,756","6.2","Q1","1.2","4.71"%,
"EXPERT REVIEWS IN MOLECULAR MEDICINE","EXPERT REV MOL MED","1462-3994","1462-3994","MEDICINE, RESEARCH & EXPERIMENTAL - SCIE","1,991","6.2","Q1","0.65","33.33"%,
"LIFE SCIENCES","LIFE SCI","0024-3205","1879-0631","MEDICINE, RESEARCH & EXPERIMENTAL - SCIE","44,616","6.1","Q1","1.43","7.97"%,
"CLINICAL SCIENCE","CLIN SCI","0143-5221","1470-8736","MEDICINE, RESEARCH & EXPERIMENTAL - SCIE","13,674","6","Q1","1.24","72.8"%,
"SCRIPTA MATERIALIA","SCRIPTA MATER","1359-6462","1872-8456","METALLURGY & METALLURGICAL ENGINEERING - SCIE","47,980","6","Q1","1.18","20.26"%,
