"Journal Data Filtered By:  Selected Categories: Multiple Selected Editions: SCIE;SSCI;AHCI;ESCI Selected JCR Year: 2022 Selected Category Schema: WOS Selected Open Access: N Indicator: Default"

Journal name,JCR Abbreviation,ISSN,eISSN,Category,Total Citations,2022 JIF,JIF Quartile,2022 JCI,% of OA Gold
"World Psychiatry","WORLD PSYCHIATRY","1723-8617","2051-5545","PSYCHIATRY - SCIE","12,296","73.3","Q1","9.06","0"%,
"World Psychiatry","WORLD PSYCHIATRY","1723-8617","2051-5545","PSYCHIATRY - SSCI","12,296","73.3","Q1","9.06","0"%,
"Lancet Psychiatry","LANCET PSYCHIAT","2215-0374","N/A","PSYCHIATRY - SCIE","21,041","64.3","Q1","8.65","22.38"%,
"Lancet Psychiatry","LANCET PSYCHIAT","2215-0374","N/A","PSYCHIATRY - SSCI","21,041","64.3","Q1","8.65","22.38"%,
"BEHAVIORAL AND BRAIN SCIENCES","BEHAV BRAIN SCI","0140-525X","1469-1825","PSYCHOLOGY, BIOLOGICAL - SSCI","11,851","29.3","Q1","4.06","0"%,
"PROGRESS IN POLYMER SCIENCE","PROG POLYM SCI","0079-6700","1873-1619","POLYMER SCIENCE - SCIE","28,522","27.1","Q1","2.2","27.04"%,
"JAMA Psychiatry","JAMA PSYCHIAT","2168-622X","2168-6238","PSYCHIATRY - SCIE","22,312","25.8","Q1","4.28","26.39"%,
"JAMA Psychiatry","JAMA PSYCHIAT","2168-622X","2168-6238","PSYCHIATRY - SSCI","22,312","25.8","Q1","4.28","26.39"%,
"Annual Review of Psychology","ANNU REV PSYCHOL","0066-4308","1545-2085","PSYCHOLOGY - SCIE","28,540","24.8","Q1","4.22","3.7"%,
"PSYCHOLOGICAL BULLETIN","PSYCHOL BULL","0033-2909","1939-1455","PSYCHOLOGY - SCIE","62,263","22.4","Q1","5.04","0.89"%,
"PSYCHOTHERAPY AND PSYCHOSOMATICS","PSYCHOTHER PSYCHOSOM","0033-3190","1423-0348","PSYCHIATRY - SCIE","6,367","22.3","Q1","3.5","39.51"%,
"PSYCHOTHERAPY AND PSYCHOSOMATICS","PSYCHOTHER PSYCHOSOM","0033-3190","1423-0348","PSYCHIATRY - SSCI","6,367","22.3","Q1","3.5","39.51"%,
"PSYCHOTHERAPY AND PSYCHOSOMATICS","PSYCHOTHER PSYCHOSOM","0033-3190","1423-0348","PSYCHOLOGY - SCIE","6,367","22.3","Q1","3.5","39.51"%,
