"Journal Data Filtered By:  Selected Categories: Multiple Selected Editions: SCIE;SSCI;AHCI;ESCI Selected JCR Year: 2022 Selected Category Schema: WOS Selected Open Access: N Indicator: Default"

Journal name,JCR Abbreviation,ISSN,eISSN,Category,Total Citations,2022 JIF,JIF Quartile,2022 JCI,% of OA Gold
"IEEE Communications Surveys and Tutorials","IEEE COMMUN SURV TUT","N/A","1553-877X","TELECOMMUNICATIONS - SCIE","29,361","35.6","Q1","8.77","21.58"%,
"PROGRESS IN ENERGY AND COMBUSTION SCIENCE","PROG ENERG COMBUST","0360-1285","1873-216X","THERMODYNAMICS - SCIE","15,670","29.5","Q1","2.33","34.62"%,
"JAMA Surgery","JAMA SURG","2168-6254","2168-6262","SURGERY - SCIE","16,054","16.9","Q1","5.4","9.97"%,
"IEEE JOURNAL ON SELECTED AREAS IN COMMUNICATIONS","IEEE J SEL AREA COMM","0733-8716","1558-0008","TELECOMMUNICATIONS - SCIE","25,373","16.4","Q1","3.54","11.48"%,
"International Journal of Surgery","INT J SURG","1743-9191","1743-9159","SURGERY - SCIE","18,431","15.3","Q1","5.14","45.75"%,
"IEEE WIRELESS COMMUNICATIONS","IEEE WIREL COMMUN","1536-1284","1558-0687","TELECOMMUNICATIONS - SCIE","11,380","12.9","Q1","3.01","0"%,
"IEEE COMMUNICATIONS MAGAZINE","IEEE COMMUN MAG","0163-6804","1558-1896","TELECOMMUNICATIONS - SCIE","24,535","11.2","Q1","2.35","0"%,
"Satellite Navigation","SATELLITE NAVIG","2662-9291","2662-1363","TELECOMMUNICATIONS - ESCI","755","11.2","N/A","2.1","98.86"%,
"JOURNAL OF NEUROLOGY NEUROSURGERY AND PSYCHIATRY","J NEUROL NEUROSUR PS","0022-3050","1468-330X","SURGERY - SCIE","35,344","11.1","Q1","2.76","36.18"%,
"IEEE Internet of Things Journal","IEEE INTERNET THINGS","2327-4662","2327-4662","TELECOMMUNICATIONS - SCIE","52,299","10.6","Q1","2.61","5.49"%,
"IEEE TRANSACTIONS ON WIRELESS COMMUNICATIONS","IEEE T WIREL COMMUN","1536-1276","1558-2248","TELECOMMUNICATIONS - SCIE","39,154","10.4","Q1","2.44","11.49"%,
"ENERGY CONVERSION AND MANAGEMENT","ENERG CONVERS MANAGE","0196-8904","1879-2227","THERMODYNAMICS - SCIE","101,917","10.4","Q1","2.03","9.01"%,
"ANNALS OF SURGERY","ANN SURG","0003-4932","1528-1140","SURGERY - SCIE","59,935","10.1","Q1","4.97","7.1"%,
"British Journal of Surgery","BRIT J SURG","0007-1323","1365-2168","SURGERY - SCIE","26,524","9.6","Q1","3","30.78"%,
"Alcohol Research-Current Reviews","ALCOHOL RES-CURR REV","1535-7414","1930-0573","SUBSTANCE ABUSE - SSCI","2,001","9.4","Q1","2.13","16.28"%,
"ENDOSCOPY","ENDOSCOPY","0013-726X","1438-8812","SURGERY - SCIE","14,057","9.3","Q1","2.69","7.44"%,
"IEEE NETWORK","IEEE NETWORK","0890-8044","1558-156X","TELECOMMUNICATIONS - SCIE","10,306","9.3","Q1","2.29","0"%,
"JOURNAL OF HEART AND LUNG TRANSPLANTATION","J HEART LUNG TRANSPL","1053-2498","1557-3117","SURGERY - SCIE","14,893","8.9","Q1","2.33","13.83"%,
"Energy","ENERGY","0360-5442","1873-6785","THERMODYNAMICS - SCIE","155,200","8.9","Q1","1.55","8.16"%,
"AMERICAN JOURNAL OF TRANSPLANTATION","AM J TRANSPLANT","1600-6135","1600-6143","SURGERY - SCIE","28,932","8.7","Q1","3.11","72.5"%,
"IEEE Transactions on Cognitive Communications and Networking","IEEE T COGN COMMUN","2332-7731","2332-7731","TELECOMMUNICATIONS - SCIE","3,734","8.6","Q1","1.8","9.54"%,
"IEEE TRANSACTIONS ON COMMUNICATIONS","IEEE T COMMUN","0090-6778","1558-0857","TELECOMMUNICATIONS - SCIE","28,955","8.3","Q1","1.79","10.17"%,
"IEEE Vehicular Technology Magazine","IEEE VEH TECHNOL MAG","1556-6072","1556-6080","TELECOMMUNICATIONS - SCIE","3,146","8.1","Q1","2.4","6.15"%,
"World Journal of Emergency Surgery","WORLD J EMERG SURG","1749-7922","1749-7922","SURGERY - SCIE","3,207","8","Q1","2.41","98.82"%,
"International Journal of Mental Health and Addiction","INT J MENT HEALTH AD","1557-1874","1557-1882","SUBSTANCE ABUSE - SCIE","7,305","8","Q1","2.05","25.2"%,
"International Journal of Mental Health and Addiction","INT J MENT HEALTH AD","1557-1874","1557-1882","SUBSTANCE ABUSE - SSCI","7,305","8","Q1","2.05","25.2"%,
"Hepatobiliary Surgery and Nutrition","HEPATOBIL SURG NUTR","2304-3881","2304-389X","SURGERY - SCIE","1,859","8","Q1","1.12","100"%,
"IEEE TRANSACTIONS ON MOBILE COMPUTING","IEEE T MOBILE COMPUT","1536-1233","1558-0660","TELECOMMUNICATIONS - SCIE","12,286","7.9","Q1","2.01","12.15"%,
"IEEE Open Journal of the Communications Society","IEEE OPEN J COMM SOC","N/A","2644-125X","TELECOMMUNICATIONS - ESCI","2,223","7.9","N/A","1.49","98.27"%,
"Digital Communications and Networks","DIGIT COMMUN NETW","2468-5925","2352-8648","TELECOMMUNICATIONS - SCIE","1,952","7.9","Q1","1.36","94.98"%,
"JAMA Otolaryngology-Head & Neck Surgery","JAMA OTOLARYNGOL","2168-6181","2168-619X","SURGERY - SCIE","6,396","7.8","Q1","2.66","3.94"%,
