"Journal Data Filtered By:  Selected Categories: Multiple Selected Editions: SCIE;SSCI;AHCI;ESCI Selected JCR Year: 2022 Selected Category Schema: WOS Selected Open Access: N Indicator: Default"

Journal name,JCR Abbreviation,ISSN,eISSN,Category,Total Citations,2022 JIF,JIF Quartile,2022 JCI,% of OA Gold
"BRITISH JOURNAL OF SPORTS MEDICINE","BRIT J SPORT MED","0306-3674","1473-0480","SPORT SCIENCES - SCIE","34,808","18.6","Q1","4.26","27.17"%,
"ANNALS OF TOURISM RESEARCH","ANN TOURISM RES","0160-7383","1873-7722","SOCIOLOGY - SSCI","19,874","13.2","Q1","3.56","17.96"%,
"Biochar","BIOCHAR","2524-7972","2524-7867","SOIL SCIENCE - SCIE","1,899","12.7","Q1","1.58","61.78"%,
"Journal of Sport and Health Science","J SPORT HEALTH SCI","2095-2546","2213-2961","SPORT SCIENCES - SCIE","4,337","12.2","Q1","2.23","98.54"%,
"Annual Review of Sociology","ANNU REV SOCIOL","0360-0572","1545-2115","SOCIOLOGY - SSCI","15,214","10.5","Q1","4.37","1.15"%,
"SPORTS MEDICINE","SPORTS MED","0112-1642","1179-2035","SPORT SCIENCES - SCIE","27,477","9.8","Q1","2.11","37.63"%,
"SOIL BIOLOGY & BIOCHEMISTRY","SOIL BIOL BIOCHEM","0038-0717","1879-3428","SOIL SCIENCE - SCIE","56,896","9.7","Q1","2.02","23.95"%,
"AMERICAN SOCIOLOGICAL REVIEW","AM SOCIOL REV","0003-1224","1939-8271","SOCIOLOGY - SSCI","25,619","9.1","Q1","5","13.91"%,
"EUROPEAN SOCIETIES","EUR SOC","1461-6696","1469-8307","SOCIOLOGY - SSCI","2,158","8.1","Q1","2.55","34.97"%,
"Annual Review of Analytical Chemistry","ANNU REV ANAL CHEM","1936-1327","1936-1335","SPECTROSCOPY - SCIE","2,715","8","Q1","3.01","1.79"%,
"Annual Review of Statistics and Its Application","ANNU REV STAT APPL","2326-8298","2326-831X","STATISTICS & PROBABILITY - SCIE","1,523","7.9","Q1","3.25","3.28"%,
"EXERCISE IMMUNOLOGY REVIEW","EXERC IMMUNOL REV","1077-5552","1077-5552","SPORT SCIENCES - SCIE","973","7.3","Q1","0.84","0"%,
"Soil","SOIL-GERMANY","2199-3971","2199-398X","SOIL SCIENCE - SCIE","1,828","6.8","Q1","1.34","99.26"%,
"MASS SPECTROMETRY REVIEWS","MASS SPECTROM REV","0277-7037","1098-2787","SPECTROSCOPY - SCIE","4,656","6.7","Q1","1.23","15.79"%,
"SOIL & TILLAGE RESEARCH","SOIL TILL RES","0167-1987","1879-3444","SOIL SCIENCE - SCIE","23,569","6.5","Q1","1.57","11.69"%,
"BIOLOGY AND FERTILITY OF SOILS","BIOL FERT SOILS","0178-2762","1432-0789","SOIL SCIENCE - SCIE","12,538","6.5","Q1","1.35","21.11"%,
"International Soil and Water Conservation Research","INT SOIL WATER CONSE","2095-6339","2589-059X","SOIL SCIENCE - SCIE","2,554","6.4","Q1","1.36","85.81"%,
"SOCIOLOGICAL METHODS & RESEARCH","SOCIOL METHOD RES","0049-1241","1552-8294","SOCIOLOGY - SSCI","8,840","6.3","Q1","3.15","16.27"%,
"CATENA","CATENA","0341-8162","1872-6887","SOIL SCIENCE - SCIE","30,616","6.2","Q1","1.56","9.47"%,
"ECONOMETRICA","ECONOMETRICA","0012-9682","1468-0262","STATISTICS & PROBABILITY - SCIE","44,835","6.1","Q1","2.23","0"%,
"JOURNAL OF ORTHOPAEDIC & SPORTS PHYSICAL THERAPY","J ORTHOP SPORT PHYS","0190-6011","1938-1344","SPORT SCIENCES - SCIE","10,026","6.1","Q1","1.89","1.04"%,
"Geoderma","GEODERMA","0016-7061","1872-6259","SOIL SCIENCE - SCIE","41,334","6.1","Q1","1.55","24.88"%,
"PROGRESS IN NUCLEAR MAGNETIC RESONANCE SPECTROSCOPY","PROG NUCL MAG RES SP","0079-6565","1873-3301","SPECTROSCOPY - SCIE","2,869","6.1","Q1","0.84","45.65"%,
"APPLIED SPECTROSCOPY REVIEWS","APPL SPECTROSC REV","0570-4928","1520-569X","SPECTROSCOPY - SCIE","3,208","6.1","Q1","0.67","9.85"%,
"JOURNAL OF MARRIAGE AND FAMILY","J MARRIAGE FAM","0022-2445","1741-3737","SOCIOLOGY - SSCI","12,887","6","Q1","1.78","22.66"%,
"JOURNAL OF THE ROYAL STATISTICAL SOCIETY SERIES B-STATISTICAL METHODOLOGY","J R STAT SOC B","1369-7412","1467-9868","STATISTICS & PROBABILITY - SCIE","31,836","5.8","Q1","2.08","21.02"%,
"Journal of Statistical Software","J STAT SOFTW","1548-7660","1548-7660","STATISTICS & PROBABILITY - SCIE","43,863","5.8","Q1","2.02","94.59"%,
"STATISTICAL SCIENCE","STAT SCI","0883-4237","2168-8745","STATISTICS & PROBABILITY - SCIE","8,600","5.7","Q1","2.13","1.01"%,
"PEDOSPHERE","PEDOSPHERE","1002-0160","2210-5107","SOIL SCIENCE - SCIE","5,738","5.7","Q1","1.09","1.67"%,
"EXERCISE AND SPORT SCIENCES REVIEWS","EXERC SPORT SCI REV","0091-6331","1538-3008","SPORT SCIENCES - SCIE","3,886","5.7","Q1","0.94","15.19"%,
"BIOLOGY OF SPORT","BIOL SPORT","0860-021X","2083-1862","SPORT SCIENCES - SCIE","2,292","5.6","Q1","2.17","0"%,
"GENDER & SOCIETY","GENDER SOC","0891-2432","1552-3977","SOCIOLOGY - SSCI","6,837","5.5","Q1","2.81","20.37"%,
"Society and Mental Health","SOC MENT HEALTH","2156-8693","2156-8731","SOCIOLOGY - SSCI","773","5.1","Q1","1.7","1.89"%,
"Journal of the International Society of Sports Nutrition","J INT SOC SPORT NUTR","N/A","1550-2783","SPORT SCIENCES - SCIE","3,239","5.1","Q1","1.34","97.06"%,
"Research in Social Stratification and Mobility","RES SOC STRAT MOBIL","0276-5624","1878-5654","SOCIOLOGY - SSCI","1,828","5","Q1","1.9","27.85"%,
"JOURNAL OF HEALTH AND SOCIAL BEHAVIOR","J HEALTH SOC BEHAV","0022-1465","2150-6000","SOCIOLOGY - SSCI","11,854","5","Q1","1.55","9.09"%,
"BMJ Open Sport & Exercise Medicine","BMJ OPEN SPORT EXERC","N/A","2055-7647","SPORT SCIENCES - ESCI","2,751","5","N/A","1.21","99.7"%,
"Qualitative Research in Sport Exercise and Health","QUAL RES SPORT EXERC","2159-676X","2159-6778","SPORT SCIENCES - SCIE","3,087","4.9","Q1","1.4","21.05"%,
"PLANT AND SOIL","PLANT SOIL","0032-079X","1573-5036","SOIL SCIENCE - SCIE","47,131","4.9","Q2","1.27","19.34"%,
"AMERICAN JOURNAL OF SPORTS MEDICINE","AM J SPORT MED","0363-5465","1552-3365","SPORT SCIENCES - SCIE","41,728","4.8","Q1","1.94","4.93"%,
"SOCIAL FORCES","SOC FORCES","0037-7732","1534-7605","SOCIOLOGY - SSCI","11,269","4.8","Q1","1.68","14.86"%,
"Stata Journal","STATA J","1536-867X","1536-8734","STATISTICS & PROBABILITY - SCIE","8,305","4.8","Q1","1.61","22.76"%,
"APPLIED SOIL ECOLOGY","APPL SOIL ECOL","0929-1393","1873-0272","SOIL SCIENCE - SCIE","17,729","4.8","Q2","1.18","14.56"%,
"ARTHROSCOPY-THE JOURNAL OF ARTHROSCOPIC AND RELATED SURGERY","ARTHROSCOPY","0749-8063","1526-3231","SPORT SCIENCES - SCIE","19,274","4.7","Q1","1.87","4.13"%,
"LAND DEGRADATION & DEVELOPMENT","LAND DEGRAD DEV","1085-3278","1099-145X","SOIL SCIENCE - SCIE","11,512","4.7","Q2","0.86","4.86"%,
"Sports Medicine-Open","SPORTS MED-OPEN","2199-1170","2198-9761","SPORT SCIENCES - SCIE","2,206","4.6","Q1","1.24","100"%,
"ANNALS OF STATISTICS","ANN STAT","0090-5364","N/A","STATISTICS & PROBABILITY - SCIE","28,986","4.5","Q1","2.1","0"%,
"IEEE-ACM Transactions on Computational Biology and Bioinformatics","IEEE ACM T COMPUT BI","1545-5963","1557-9964","STATISTICS & PROBABILITY - SCIE","6,482","4.5","Q1","1.76","15.3"%,
"AGRICULTURE AND HUMAN VALUES","AGR HUM VALUES","0889-048X","1572-8366","SOCIOLOGY - SSCI","4,326","4.5","Q1","1.73","35.79"%,
"Socius","SOCIUS","2378-0231","2378-0231","SOCIOLOGY - ESCI","1,878","4.5","N/A","1.63","92.33"%,
"AMERICAN JOURNAL OF SOCIOLOGY","AM J SOCIOL","0002-9602","1537-5390","SOCIOLOGY - SSCI","21,981","4.4","Q1","1.94","0"%,
"SPECTROCHIMICA ACTA PART A-MOLECULAR AND BIOMOLECULAR SPECTROSCOPY","SPECTROCHIM ACTA A","1386-1425","1873-3557","SPECTROSCOPY - SCIE","46,518","4.4","Q1","1.85","3.9"%,
