"Journal Data Filtered By:  Selected Categories: Multiple Selected Editions: SCIE;SSCI;AHCI;ESCI Selected JCR Year: 2022 Selected Category Schema: WOS Selected Open Access: N Indicator: Default"

Journal name,JCR Abbreviation,ISSN,eISSN,Category,Total Citations,2022 JIF,JIF Quartile,2022 JCI,% of OA Gold
"Lancet Respiratory Medicine","LANCET RESP MED","2213-2600","N/A","RESPIRATORY SYSTEM - SCIE","26,770","76.2","Q1","11.75","21.55"%,
"Nature Reviews Rheumatology","NAT REV RHEUMATOL","1759-4790","1759-4804","RHEUMATOLOGY - SCIE","15,294","33.7","Q1","4.4","2.03"%,
"ANNALS OF THE RHEUMATIC DISEASES","ANN RHEUM DIS","0003-4967","1468-2060","RHEUMATOLOGY - SCIE","59,897","27.4","Q1","4.9","41.75"%,
"Lancet Rheumatology","LANCET RHEUMATOL","2665-9913","2665-9913","RHEUMATOLOGY - SCIE","3,908","25.4","Q1","5.42","20.11"%,
"EUROPEAN RESPIRATORY JOURNAL","EUR RESPIR J","0903-1936","1399-3003","RESPIRATORY SYSTEM - SCIE","57,981","24.9","Q1","3.97","35.74"%,
"AMERICAN JOURNAL OF RESPIRATORY AND CRITICAL CARE MEDICINE","AM J RESP CRIT CARE","1073-449X","1535-4970","RESPIRATORY SYSTEM - SCIE","73,439","24.7","Q1","4.15","25.46"%,
"Journal of Thoracic Oncology","J THORAC ONCOL","1556-0864","1556-1380","RESPIRATORY SYSTEM - SCIE","27,703","20.4","Q1","3.52","81.59"%,
"IEEE Geoscience and Remote Sensing Magazine","IEEE GEOSC REM SEN M","2473-2397","2168-6831","REMOTE SENSING - SCIE","4,128","14.6","Q1","2.47","0.89"%,
"REMOTE SENSING OF ENVIRONMENT","REMOTE SENS ENVIRON","0034-4257","1879-0704","REMOTE SENSING - SCIE","89,316","13.5","Q1","2.45","47.11"%,
"HUMAN REPRODUCTION UPDATE","HUM REPROD UPDATE","1355-4786","1460-2369","REPRODUCTIVE BIOLOGY - SCIE","13,360","13.3","Q1","3.47","25.17"%,
"Arthritis & Rheumatology","ARTHRITIS RHEUMATOL","2326-5191","2326-5205","RHEUMATOLOGY - SCIE","20,969","13.3","Q1","3.32","19"%,
"ISPRS JOURNAL OF PHOTOGRAMMETRY AND REMOTE SENSING","ISPRS J PHOTOGRAMM","0924-2716","1872-8235","REMOTE SENSING - SCIE","26,107","12.7","Q1","2.58","25.94"%,
"Pulmonology","PULMONOLOGY","2531-0437","2531-0437","RESPIRATORY SYSTEM - SCIE","1,365","11.7","Q1","2.05","97.14"%,
"Satellite Navigation","SATELLITE NAVIG","2662-9291","2662-1363","REMOTE SENSING - ESCI","755","11.2","N/A","2.1","98.86"%,
"CHEST","CHEST","0012-3692","1931-3543","RESPIRATORY SYSTEM - SCIE","55,570","10.1","Q1","1.97","15.72"%,
"THORAX","THORAX","0040-6376","1468-3296","RESPIRATORY SYSTEM - SCIE","25,358","10","Q1","2.2","40.24"%,
"JOURNAL OF HEART AND LUNG TRANSPLANTATION","J HEART LUNG TRANSPL","1053-2498","1557-3117","RESPIRATORY SYSTEM - SCIE","14,893","8.9","Q1","2.33","13.83"%,
"Human Reproduction Open","HUM REPROD OPEN","N/A","2399-3529","REPRODUCTIVE BIOLOGY - SCIE","1,535","8.3","Q1","2.2","93.87"%,
"Annals of the American Thoracic Society","ANN AM THORAC SOC","1546-3222","2325-6621","RESPIRATORY SYSTEM - SCIE","10,852","8.3","Q1","1.75","17.91"%,
"IEEE TRANSACTIONS ON GEOSCIENCE AND REMOTE SENSING","IEEE T GEOSCI REMOTE","0196-2892","1558-0644","REMOTE SENSING - SCIE","80,604","8.2","Q1","1.89","6.88"%,
"ARCHIVOS DE BRONCONEUMOLOGIA","ARCH BRONCONEUMOL","0300-2896","1579-2129","RESPIRATORY SYSTEM - SCIE","3,029","8","Q1","0.97","4.3"%,
"European Respiratory Review","EUR RESPIR REV","0905-9180","1600-0617","RESPIRATORY SYSTEM - SCIE","5,920","7.5","Q1","1.58","97.85"%,
"International Journal of Applied Earth Observation and Geoinformation","INT J APPL EARTH OBS","1569-8432","1872-826X","REMOTE SENSING - SCIE","16,232","7.5","Q1","1.46","96.27"%,
"Osteoarthritis and Cartilage","OSTEOARTHR CARTILAGE","1063-4584","1522-9653","RHEUMATOLOGY - SCIE","21,655","7","Q1","1.97","73.87"%,
"RESPIROLOGY","RESPIROLOGY","1323-7799","1440-1843","RESPIRATORY SYSTEM - SCIE","8,515","6.9","Q1","1.18","21.52"%,
"Pneumonia","PNEUMONIA","2200-6133","2200-6133","RESPIRATORY SYSTEM - ESCI","490","6.8","N/A","1.07","100"%,
"FERTILITY AND STERILITY","FERTIL STERIL","0015-0282","1556-5653","REPRODUCTIVE BIOLOGY - SCIE","44,486","6.7","Q1","2.19","74.87"%,
