"Journal Data Filtered By:  Selected Categories: Multiple Selected Editions: SCIE;SSCI;AHCI;ESCI Selected JCR Year: 2022 Selected Category Schema: WOS Selected Open Access: N Indicator: Default"

Journal name,JCR Abbreviation,ISSN,eISSN,Category,Total Citations,2022 JIF,JIF Quartile,2022 JCI,% of OA Gold
"LANCET","LANCET","0140-6736","1474-547X","MEDICINE, GENERAL & INTERNAL - SCIE","365,044","168.9","Q1","21.68","26.22"%,
"NEW ENGLAND JOURNAL OF MEDICINE","NEW ENGL J MED","0028-4793","1533-4406","MEDICINE, GENERAL & INTERNAL - SCIE","456,891","158.5","Q1","24.51","2.33"%,
"JAMA-JOURNAL OF THE AMERICAN MEDICAL ASSOCIATION","JAMA-J AM MED ASSOC","0098-7484","1538-3598","MEDICINE, GENERAL & INTERNAL - SCIE","211,699","120.7","Q1","11.17","2.13"%,
"BMJ-British Medical Journal","BMJ-BRIT MED J","0959-535X","1756-1833","MEDICINE, GENERAL & INTERNAL - SCIE","171,860","107.7","Q1","8.87","82.16"%,
"Nature Reviews Disease Primers","NAT REV DIS PRIMERS","2056-676X","2056-676X","MEDICINE, GENERAL & INTERNAL - SCIE","27,771","81.5","Q1","17.54","7.69"%,
"ANNALS OF INTERNAL MEDICINE","ANN INTERN MED","0003-4819","1539-3704","MEDICINE, GENERAL & INTERNAL - SCIE","72,041","39.2","Q1","4.91","0"%,
"JAMA Internal Medicine","JAMA INTERN MED","2168-6106","2168-6114","MEDICINE, GENERAL & INTERNAL - SCIE","28,112","39","Q1","4.75","17.33"%,
"Lancet Digital Health","LANCET DIGIT HEALTH","N/A","2589-7500","MEDICAL INFORMATICS - SCIE","4,803","30.8","Q1","4.94","94.71"%,
"Lancet Digital Health","LANCET DIGIT HEALTH","N/A","2589-7500","MEDICINE, GENERAL & INTERNAL - SCIE","4,803","30.8","Q1","4.94","94.71"%,
"Annual Review of Fluid Mechanics","ANNU REV FLUID MECH","0066-4189","1545-4479","MECHANICS - SCIE","16,464","27.7","Q1","2.56","0"%,
"JOURNAL OF TRAVEL MEDICINE","J TRAVEL MED","1195-1982","1708-8305","MEDICINE, GENERAL & INTERNAL - SCIE","5,367","25.7","Q1","1.68","26.9"%,
"Military Medical Research","MILITARY MED RES","2095-7467","2054-9369","MEDICINE, GENERAL & INTERNAL - SCIE","3,109","21.1","Q1","2.2","99.37"%,
"CANADIAN MEDICAL ASSOCIATION JOURNAL","CAN MED ASSOC J","0820-3946","1488-2329","MEDICINE, GENERAL & INTERNAL - SCIE","19,570","17.4","Q1","2.21","97.79"%,
"JOURNAL OF THE ROYAL SOCIETY OF MEDICINE","J ROY SOC MED","0141-0768","1758-1095","MEDICINE, GENERAL & INTERNAL - SCIE","5,398","17.3","Q1","1.46","40.85"%,
"PLOS MEDICINE","PLOS MED","1549-1277","1549-1676","MEDICINE, GENERAL & INTERNAL - SCIE","46,220","15.8","Q1","2.82","98.26"%,
"npj Digital Medicine","NPJ DIGIT MED","2398-6352","2398-6352","MEDICAL INFORMATICS - SCIE","7,252","15.2","Q1","3.5","99.33"%,
"EClinicalMedicine","ECLINICALMEDICINE","N/A","2589-5370","MEDICINE, GENERAL & INTERNAL - SCIE","12,087","15.1","Q1","2.72","90.35"%,
"Applied Mechanics Reviews","APPL MECH REV","0003-6900","2379-0407","MECHANICS - SCIE","5,243","14.3","Q1","1","2.86"%,
"JAMA Network Open","JAMA NETW OPEN","2574-3805","2574-3805","MEDICINE, GENERAL & INTERNAL - SCIE","47,814","13.8","Q1","2.71","99.85"%,
"AMERICAN JOURNAL OF BIOETHICS","AM J BIOETHICS","1526-5161","1536-0075","MEDICAL ETHICS - SCIE","3,325","13.4","Q1","3.6","21.51"%,
"QJM-AN INTERNATIONAL JOURNAL OF MEDICINE","QJM-INT J MED","1460-2725","1460-2393","MEDICINE, GENERAL & INTERNAL - SCIE","7,416","13.3","Q1","1.08","11.71"%,
"MEDICAL JOURNAL OF AUSTRALIA","MED J AUSTRALIA","0025-729X","1326-5377","MEDICINE, GENERAL & INTERNAL - SCIE","13,616","11.4","Q1","1.29","20.88"%,
"JOURNAL OF INTERNAL MEDICINE","J INTERN MED","0954-6820","1365-2796","MEDICINE, GENERAL & INTERNAL - SCIE","15,138","11.1","Q1","1.92","37.68"%,
"ENERGY CONVERSION AND MANAGEMENT","ENERG CONVERS MANAGE","0196-8904","1879-2227","MECHANICS - SCIE","101,917","10.4","Q1","2.03","9.01"%,
"CRITICAL REVIEWS IN CLINICAL LABORATORY SCIENCES","CRIT REV CL LAB SCI","1040-8363","1549-781X","MEDICAL LABORATORY TECHNOLOGY - SCIE","3,162","10","Q1","1.16","12.84"%,
"INTERNATIONAL JOURNAL OF PLASTICITY","INT J PLASTICITY","0749-6419","1879-2154","MECHANICS - SCIE","19,234","9.8","Q1","2.1","24.18"%,
"CLINICAL CHEMISTRY","CLIN CHEM","0009-9147","1530-8561","MEDICAL LABORATORY TECHNOLOGY - SCIE","26,087","9.3","Q1","2.79","31.93"%,
"BMC Medicine","BMC MED","1741-7015","1741-7015","MEDICINE, GENERAL & INTERNAL - SCIE","25,871","9.3","Q1","2.1","99.91"%,
"Journal of Cachexia Sarcopenia and Muscle","J CACHEXIA SARCOPENI","2190-5991","2190-6009","MEDICINE, GENERAL & INTERNAL - SCIE","8,828","8.9","Q1","1.92","67.24"%,
"MAYO CLINIC PROCEEDINGS","MAYO CLIN PROC","0025-6196","1942-5546","MEDICINE, GENERAL & INTERNAL - SCIE","21,862","8.9","Q1","1.68","17.28"%,
"Pragmatic and Observational Research","PRAGMAT OBS RES","1179-7266","1179-7266","MEDICINE, GENERAL & INTERNAL - ESCI","317","8.9","N/A","0.76","100"%,
"BMJ Evidence-Based Medicine","BMJ EVID-BASED MED","2515-446X","2515-4478","MEDICINE, GENERAL & INTERNAL - SCIE","1,593","8.8","Q1","1.14","35.77"%,
"Cochrane Database of Systematic Reviews","COCHRANE DB SYST REV","1469-493X","1361-6137","MEDICINE, GENERAL & INTERNAL - SCIE","83,897","8.4","Q1","1.36","0"%,
"European Journal of Internal Medicine","EUR J INTERN MED","0953-6205","1879-0828","MEDICINE, GENERAL & INTERNAL - SCIE","8,143","8","Q1","1.14","16.52"%,
"Translational Research","TRANSL RES","1931-5244","1878-1810","MEDICAL LABORATORY TECHNOLOGY - SCIE","6,585","7.8","Q1","2.14","23.28"%,
"Translational Research","TRANSL RES","1931-5244","1878-1810","MEDICINE, GENERAL & INTERNAL - SCIE","6,585","7.8","Q1","2.14","23.28"%,
"IEEE Journal of Biomedical and Health Informatics","IEEE J BIOMED HEALTH","2168-2194","2168-2208","MEDICAL INFORMATICS - SCIE","15,055","7.7","Q1","1.78","14.98"%,
"Deutsches Arzteblatt International","DTSCH ARZTEBL INT","1866-0452","1866-0452","MEDICINE, GENERAL & INTERNAL - SCIE","8,214","7.7","Q1","1.47","0"%,
