"Journal Data Filtered By:  Selected Categories: Multiple Selected Editions: SCIE;SSCI;AHCI;ESCI Selected JCR Year: 2022 Selected Category Schema: WOS Selected Open Access: N Indicator: Default"

Journal name,JCR Abbreviation,ISSN,eISSN,Category,Total Citations,2022 JIF,JIF Quartile,2022 JCI,% of OA Gold
"POETICS","POETICS","0304-422X","1872-7514","LITERATURE - AHCI","2,883","2.5","N/A","6.38","25.54"%,
"THEORY AND PRACTICE OF LOGIC PROGRAMMING","THEOR PRACT LOG PROG","1471-0684","1475-3081","LOGIC - SCIE","696","1.4","Q1","0.79","35.97"%,
"JOURNAL OF MULTIPLE-VALUED LOGIC AND SOFT COMPUTING","J MULT-VALUED LOG S","1542-3980","1542-3999","LOGIC - SCIE","745","1.3","Q1","0.59","0"%,
"REVIEW OF ENGLISH STUDIES","REV ENGL STUD","0034-6551","1471-6968","LITERATURE - AHCI","730","1.2","N/A","1.53","18.84"%,
"JOURNAL OF LITERARY SEMANTICS","J LITERARY SEMANTICS","0341-7638","1613-3838","LITERATURE - AHCI","158","1","N/A","2.7","23.33"%,
"LOGIC JOURNAL OF THE IGPL","LOG J IGPL","1367-0751","1368-9894","LOGIC - SCIE","615","1","Q1","0.9","8.16"%,
"AMERICAN BOOK REVIEW","AM BOOK REV","0149-9408","2153-4578","LITERATURE - AHCI","23","1","N/A","0","0"%,
"NARRATIVE","NARRATIVE","1063-3685","1538-974X","LITERATURE - AHCI","527","0.9","N/A","5.11","0"%,
"NEW LITERARY HISTORY","NEW LITERARY HIST","0028-6087","1080-661X","LITERATURE - AHCI","1,253","0.9","N/A","3.24","0"%,
"Journal of Mathematical Logic","J MATH LOG","0219-0613","1793-6691","LOGIC - SCIE","221","0.9","Q1","1.34","1.22"%,
"Journal of Logical and Algebraic Methods in Programming","J LOG ALGEBR METHODS","2352-2208","2352-2216","LOGIC - SCIE","351","0.9","Q1","0.94","28.67"%,
"COLLEGE ENGLISH","COLL ENGL","0010-0994","2161-8178","LITERATURE - AHCI","637","0.8","N/A","5.55","0"%,
"STYLE","STYLE","0039-4238","2374-6629","LITERARY THEORY & CRITICISM - AHCI","426","0.8","N/A","2.86","0"%,
"STYLE","STYLE","0039-4238","2374-6629","LITERATURE - AHCI","426","0.8","N/A","2.86","0"%,
"Dickens Studies Annual","DICKENS STUD ANNU","0084-9812","2167-8510","LITERATURE, BRITISH ISLES - ESCI","97","0.8","N/A","2.57","0"%,
"Logica Universalis","LOG UNIVERSALIS","1661-8297","1661-8300","LOGIC - SCIE","160","0.8","Q2","0.88","23.68"%,
"ANNALS OF PURE AND APPLIED LOGIC","ANN PURE APPL LOGIC","0168-0072","1873-2461","LOGIC - SCIE","1,361","0.8","Q2","0.8","22.98"%,
"Journal of Logic Language and Information","J LOGIC LANG INFORM","0925-8531","1572-9583","LOGIC - SCIE","329","0.8","Q2","0.69","31.18"%,
"PMLA-PUBLICATIONS OF THE MODERN LANGUAGE ASSOCIATION OF AMERICA","PMLA","0030-8129","1938-1530","LITERATURE - AHCI","1,559","0.7","N/A","3.51","0.67"%,
"Mark Twain Annual","MARK TWAIN ANNU","1553-0981","1756-2597","LITERATURE, AMERICAN - ESCI","38","0.7","N/A","1.53","0"%,
"Rhetoric Society Quarterly","RHETOR SOC Q","0277-3945","1930-322X","LITERATURE - AHCI","356","0.7","N/A","1.53","6.1"%,
"Studia Logica","STUD LOGICA","0039-3215","1572-8730","LOGIC - SCIE","1,069","0.7","Q2","1.1","23.53"%,
"Australasian Journal of Logic","AUSTRALAS J LOG","1448-5052","1448-5052","LOGIC - ESCI","126","0.7","N/A","1.03","0"%,
"Notre Dame Journal of Formal Logic","NOTRE DAME J FORM L","0029-4527","1939-0726","LOGIC - SCIE","697","0.7","Q2","0.72","0"%,
"JOURNAL OF LOGIC AND COMPUTATION","J LOGIC COMPUT","0955-792X","1465-363X","LOGIC - SCIE","858","0.7","Q2","0.53","8.43"%,
"DICKENS QUARTERLY","DICKENS QUART","0742-5473","N/A","LITERATURE, BRITISH ISLES - AHCI","74","0.6","N/A","1.54","0"%,
"Scrutiny2-Issues in English Studies in Southern Africa","SCRUTINY2","1812-5441","1753-5409","LITERATURE - ESCI","63","0.6","N/A","1.28","6.45"%,
"SEMINAR-A JOURNAL OF GERMANIC STUDIES","SEMINAR-J GER STUD","0037-1939","1911-026X","LITERATURE, GERMAN, DUTCH, SCANDINAVIAN - AHCI","176","0.6","N/A","1.17","0"%,
