"Journal Data Filtered By:  Selected Categories: Multiple Selected Editions: SCIE;SSCI;AHCI;ESCI Selected JCR Year: 2022 Selected Category Schema: WOS Selected Open Access: N Indicator: Default"

Journal name,JCR Abbreviation,ISSN,eISSN,Category,Total Citations,2022 JIF,JIF Quartile,2022 JCI,% of OA Gold
"Annual Review of Pathology-Mechanisms of Disease","ANNU REV PATHOL-MECH","1553-4006","1553-4014","PATHOLOGY - SCIE","8,303","36.2","Q1","5.78","3.17"%,
"Nature Photonics","NAT PHOTONICS","1749-4885","1749-4893","OPTICS - SCIE","55,088","34.9","Q1","8.69","7.47"%,
"Cell Host & Microbe","CELL HOST MICROBE","1931-3128","1934-6069","PARASITOLOGY - SCIE","33,775","30.3","Q1","6.08","81.65"%,
"Advances in Optics and Photonics","ADV OPT PHOTONICS","1943-8206","N/A","OPTICS - SCIE","3,994","27.1","Q1","3.46","34.21"%,
"Light-Science & Applications","LIGHT-SCI APPL","2095-5545","2047-7538","OPTICS - SCIE","18,607","19.4","Q1","4.94","99.67"%,
"Advanced Photonics","ADV PHOTONICS","N/A","2577-5421","OPTICS - SCIE","2,021","17.3","Q1","3.58","99.12"%,
"PhotoniX","PHOTONIX","N/A","2662-1991","OPTICS - SCIE","831","16.5","Q1","3.07","98.63"%,
"Opto-Electronic Advances","OPTO-ELECTRON ADV","2096-4579","2096-4579","OPTICS - SCIE","1,726","14.1","Q1","2.58","99.24"%,
"ACTA NEUROPATHOLOGICA","ACTA NEUROPATHOL","0001-6322","1432-0533","PATHOLOGY - SCIE","28,439","12.7","Q1","3.44","60.92"%,
"Journal of Physiotherapy","J PHYSIOTHER","1836-9553","1836-9561","ORTHOPEDICS - SCIE","2,865","12.1","Q1","2.97","97.3"%,
"PROGRESS IN QUANTUM ELECTRONICS","PROG QUANT ELECTRON","0079-6727","1873-1627","OPTICS - SCIE","1,642","11.7","Q1","0.92","35.42"%,
"Laser & Photonics Reviews","LASER PHOTONICS REV","1863-8880","1863-8899","OPTICS - SCIE","12,873","11","Q1","2.03","14.03"%,
"Optica","OPTICA","2334-2536","2334-2536","OPTICS - SCIE","17,580","10.4","Q1","3.03","99.24"%,
"TRENDS IN PARASITOLOGY","TRENDS PARASITOL","1471-4922","1471-5007","PARASITOLOGY - SCIE","8,425","9.6","Q1","1.09","40"%,
"Advanced Optical Materials","ADV OPT MATER","2195-1071","2195-1071","OPTICS - SCIE","33,673","9","Q1","1.81","13.37"%,
"Seminars in Immunopathology","SEMIN IMMUNOPATHOL","1863-2297","1863-2300","PATHOLOGY - SCIE","6,135","9","Q1","1.37","54.55"%,
"Infectious Diseases of Poverty","INFECT DIS POVERTY","2095-5162","2049-9957","PARASITOLOGY - SCIE","4,556","8.1","Q1","1.89","100"%,
"HLA","HLA","2059-2302","2059-2310","PATHOLOGY - SCIE","1,550","8","Q1","0.72","22.16"%,
"JAMA Otolaryngology-Head & Neck Surgery","JAMA OTOLARYNGOL","2168-6181","2168-619X","OTORHINOLARYNGOLOGY - SCIE","6,396","7.8","Q1","2.66","3.94"%,
"Photonics Research","PHOTONICS RES","2327-9125","2327-9125","OPTICS - SCIE","9,609","7.6","Q1","2.14","0.99"%,
"MODERN PATHOLOGY","MODERN PATHOL","0893-3952","1530-0285","PATHOLOGY - SCIE","19,085","7.5","Q1","2.49","67.39"%,
"Nanophotonics","NANOPHOTONICS-BERLIN","2192-8606","2192-8614","OPTICS - SCIE","11,643","7.5","Q1","1.16","96.02"%,
"JOURNAL OF PATHOLOGY","J PATHOL","0022-3417","1096-9896","PATHOLOGY - SCIE","19,948","7.3","Q1","1.81","33.59"%,
"Osteoarthritis and Cartilage","OSTEOARTHR CARTILAGE","1063-4584","1522-9653","ORTHOPEDICS - SCIE","21,655","7","Q1","1.97","73.87"%,
"ACS Photonics","ACS PHOTONICS","2330-4022","N/A","OPTICS - SCIE","21,950","7","Q1","1.42","12.39"%,
"RHINOLOGY","RHINOLOGY","0300-0729","0300-0729","OTORHINOLARYNGOLOGY - SCIE","3,718","6.7","Q1","2.42","0"%,
"PLoS Pathogens","PLOS PATHOG","1553-7366","1553-7374","PARASITOLOGY - SCIE","55,803","6.7","Q1","1.55","98.39"%,
"ADVANCES IN ANATOMIC PATHOLOGY","ADV ANAT PATHOL","1072-4109","1533-4031","PATHOLOGY - SCIE","2,246","6.7","Q1","1.09","3.88"%,
"Journal of Orthopaedic Translation","J ORTHOP TRANSL","2214-031X","2214-031X","ORTHOPEDICS - SCIE","2,908","6.6","Q1","2.61","93.19"%,
"CELLULAR ONCOLOGY","CELL ONCOL","2211-3428","2211-3436","PATHOLOGY - SCIE","3,107","6.6","Q1","1.25","27.7"%,
"International Forum of Allergy & Rhinology","INT FORUM ALLERGY RH","2042-6976","2042-6984","OTORHINOLARYNGOLOGY - SCIE","5,638","6.4","Q1","2.29","7.48"%,
"BRAIN PATHOLOGY","BRAIN PATHOL","1015-6305","1750-3639","PATHOLOGY - SCIE","6,722","6.4","Q1","1.82","52.89"%,
"HISTOPATHOLOGY","HISTOPATHOLOGY","0309-0167","1365-2559","PATHOLOGY - SCIE","12,987","6.4","Q1","1.12","15.25"%,
"JOURNAL OF ORTHOPAEDIC & SPORTS PHYSICAL THERAPY","J ORTHOP SPORT PHYS","0190-6011","1938-1344","ORTHOPEDICS - SCIE","10,026","6.1","Q1","1.89","1.04"%,
"AMERICAN JOURNAL OF PATHOLOGY","AM J PATHOL","0002-9440","1525-2191","PATHOLOGY - SCIE","37,825","6","Q1","1.71","73.94"%,
"AMERICAN JOURNAL OF SURGICAL PATHOLOGY","AM J SURG PATHOL","0147-5185","1532-0979","PATHOLOGY - SCIE","23,971","5.6","Q1","2.24","4.96"%,
"APL Photonics","APL PHOTONICS","2378-0967","2378-0967","OPTICS - SCIE","3,833","5.6","Q1","1.53","90.05"%,
"International Journal of Optomechatronics","INT J OPTOMECHATRONI","1559-9612","1559-9620","OPTICS - SCIE","278","5.5","Q1","1.02","95.65"%,
"Current Tropical Medicine Reports","CURR TROP MED REP","N/A","2196-3045","PARASITOLOGY - ESCI","556","5.4","N/A","1.28","16.05"%,
"JOURNAL OF BONE AND JOINT SURGERY-AMERICAN VOLUME","J BONE JOINT SURG AM","0021-9355","1535-1386","ORTHOPEDICS - SCIE","48,304","5.3","Q1","2.02","7.05"%,
"EPJ Quantum Technology","EPJ QUANTUM TECHNOL","2662-4400","2196-0763","OPTICS - SCIE","476","5.3","Q1","1.42","100"%,
"Neurophotonics","NEUROPHOTONICS","2329-423X","2329-4248","OPTICS - SCIE","1,969","5.3","Q1","1.14","98.69"%,
"EXPERT REVIEW OF MOLECULAR DIAGNOSTICS","EXPERT REV MOL DIAGN","1473-7159","1744-8352","PATHOLOGY - SCIE","4,366","5.1","Q1","0.96","11.15"%,
"LABORATORY INVESTIGATION","LAB INVEST","0023-6837","1530-0307","PATHOLOGY - SCIE","12,716","5","Q1","1.4","72.77"%,
"Journal of Optical Communications and Networking","J OPT COMMUN NETW","1943-0620","1943-0639","OPTICS - SCIE","3,575","5","Q1","1.25","9.22"%,
"OPTICS AND LASER TECHNOLOGY","OPT LASER TECHNOL","0030-3992","1879-2545","OPTICS - SCIE","21,583","5","Q1","1.25","4.43"%,
