"Journal Data Filtered By:  Selected Categories: Multiple Selected Editions: SCIE;SSCI;AHCI;ESCI Selected JCR Year: 2022 Selected Category Schema: WOS Selected Open Access: N Indicator: Default"

Journal name,JCR Abbreviation,ISSN,eISSN,Category,Total Citations,2022 JIF,JIF Quartile,2022 JCI,% of OA Gold
"NATURE REVIEWS MICROBIOLOGY","NAT REV MICROBIOL","1740-1526","1740-1534","MICROBIOLOGY - SCIE","53,344","88.1","Q1","6.76","4.17"%,
"NATURE","NATURE","0028-0836","1476-4687","MULTIDISCIPLINARY SCIENCES - SCIE","964,818","64.8","Q1","11.43","19.06"%,
"SCIENCE","SCIENCE","0036-8075","1095-9203","MULTIDISCIPLINARY SCIENCES - SCIE","818,281","56.9","Q1","9.64","7.14"%,
"Nature Reviews Methods Primers","NAT REV METHOD PRIME","N/A","2662-8449","MULTIDISCIPLINARY SCIENCES - ESCI","1,936","39.8","N/A","6.42","9.3"%,
"Lancet Microbe","LANCET MICROBE","N/A","2666-5247","MICROBIOLOGY - SCIE","4,054","38.2","Q1","4.99","87.88"%,
"CLINICAL MICROBIOLOGY REVIEWS","CLIN MICROBIOL REV","0893-8512","1098-6618","MICROBIOLOGY - SCIE","26,300","36.8","Q1","3.51","0.91"%,
"Innovation","INNOVATION-AMSTERDAM","2666-6758","2666-6758","MULTIDISCIPLINARY SCIENCES - ESCI","3,546","33.1","N/A","4.99","83.97"%,
"Cell Host & Microbe","CELL HOST MICROBE","1931-3128","1934-6069","MICROBIOLOGY - SCIE","33,775","30.3","Q1","6.08","81.65"%,
"Nature Human Behaviour","NAT HUM BEHAV","2397-3374","2397-3374","MULTIDISCIPLINARY SCIENCES - SCIE","14,216","29.9","Q1","6.47","9.69"%,
"Nature Microbiology","NAT MICROBIOL","2058-5276","2058-5276","MICROBIOLOGY - SCIE","22,435","28.3","Q1","5.42","22.95"%,
"National Science Review","NATL SCI REV","2095-5138","2053-714X","MULTIDISCIPLINARY SCIENCES - SCIE","13,369","20.7","Q1","3.18","92.75"%,
"FUNGAL DIVERSITY","FUNGAL DIVERS","1560-2745","1878-9129","MYCOLOGY - SCIE","6,100","20.3","Q1","6.25","33.33"%,
"Science Bulletin","SCI BULL","2095-9273","2095-9281","MULTIDISCIPLINARY SCIENCES - SCIE","15,986","18.9","Q1","2.79","16.11"%,
"Nature Communications","NAT COMMUN","N/A","2041-1723","MULTIDISCIPLINARY SCIENCES - SCIE","675,323","16.6","Q1","3.24","99.66"%,
"STUDIES IN MYCOLOGY","STUD MYCOL","0166-0616","1872-9797","MYCOLOGY - SCIE","4,519","16.5","Q1","6.78","97.14"%,
"TRENDS IN MICROBIOLOGY","TRENDS MICROBIOL","0966-842X","1878-4380","MICROBIOLOGY - SCIE","18,957","15.9","Q1","1.62","29.72"%,
"Microbiome","MICROBIOME","2049-2618","2049-2618","MICROBIOLOGY - SCIE","20,983","15.5","Q1","3.04","100"%,
"Mycosphere","MYCOSPHERE","2077-7000","2077-7019","MYCOLOGY - SCIE","1,893","14.6","Q1","3.78","96.55"%,
"CLINICAL MICROBIOLOGY AND INFECTION","CLIN MICROBIOL INFEC","1198-743X","1469-0691","MICROBIOLOGY - SCIE","30,210","14.2","Q1","2.35","60.76"%,
"Science Advances","SCI ADV","2375-2548","2375-2548","MULTIDISCIPLINARY SCIENCES - SCIE","126,245","13.6","Q1","2.84","60.58"%,
"Emerging Microbes & Infections","EMERG MICROBES INFEC","N/A","2222-1751","MICROBIOLOGY - SCIE","11,189","13.2","Q1","2.55","96"%,
"MICROBIOLOGY AND MOLECULAR BIOLOGY REVIEWS","MICROBIOL MOL BIOL R","1092-2172","1098-5557","MICROBIOLOGY - SCIE","14,478","12.9","Q1","1.12","3.8"%,
"Gut Microbes","GUT MICROBES","1949-0976","1949-0984","MICROBIOLOGY - SCIE","11,846","12.2","Q1","2.12","99.7"%,
