"Journal Data Filtered By:  Selected Categories: Multiple Selected Editions: SCIE;SSCI;AHCI;ESCI Selected JCR Year: 2022 Selected Category Schema: WOS Selected Open Access: N Indicator: Default"

Journal name,JCR Abbreviation,ISSN,eISSN,Category,Total Citations,2022 JIF,JIF Quartile,2022 JCI,% of OA Gold
"Nature Human Behaviour","NAT HUM BEHAV","2397-3374","2397-3374","PSYCHOLOGY, EXPERIMENTAL - SSCI","14,216","29.9","Q1","6.47","9.69"%,
"TRENDS IN COGNITIVE SCIENCES","TRENDS COGN SCI","1364-6613","1879-307X","PSYCHOLOGY, EXPERIMENTAL - SSCI","34,074","19.9","Q1","2.27","29.17"%,
"Annual Review of Clinical Psychology","ANNU REV CLIN PSYCHO","1548-5943","1548-5951","PSYCHOLOGY, CLINICAL - SSCI","9,221","18.4","Q1","6.42","1.59"%,
"JOURNAL OF THE AMERICAN ACADEMY OF CHILD AND ADOLESCENT PSYCHIATRY","J AM ACAD CHILD PSY","0890-8567","1527-5418","PSYCHOLOGY, DEVELOPMENTAL - SSCI","22,301","13.3","Q1","3.08","31.37"%,
"CLINICAL PSYCHOLOGY REVIEW","CLIN PSYCHOL REV","0272-7358","1873-7811","PSYCHOLOGY, CLINICAL - SSCI","22,972","12.8","Q1","2.03","18.33"%,
"CONTEMPORARY EDUCATIONAL PSYCHOLOGY","CONTEMP EDUC PSYCHOL","0361-476X","1090-2384","PSYCHOLOGY, EDUCATIONAL - SSCI","8,521","10.3","Q1","2.55","21.52"%,
"JOURNAL OF ANXIETY DISORDERS","J ANXIETY DISORD","0887-6185","1873-7897","PSYCHOLOGY, CLINICAL - SSCI","10,801","10.3","Q1","2.2","15.92"%,
"EDUCATIONAL PSYCHOLOGY REVIEW","EDUC PSYCHOL REV","1040-726X","1573-336X","PSYCHOLOGY, EDUCATIONAL - SSCI","8,950","10.1","Q1","2.58","39.9"%,
"COMPUTERS IN HUMAN BEHAVIOR","COMPUT HUM BEHAV","0747-5632","1873-7692","PSYCHOLOGY, EXPERIMENTAL - SSCI","54,607","9.9","Q1","2.81","19.93"%,
"Health Psychology Review","HEALTH PSYCHOL REV","1743-7199","1743-7202","PSYCHOLOGY, CLINICAL - SSCI","3,630","9.8","Q1","1.74","34.31"%,
"MONOGRAPHS OF THE SOCIETY FOR RESEARCH IN CHILD DEVELOPMENT","MONOGR SOC RES CHILD","0037-976X","1540-5834","PSYCHOLOGY, DEVELOPMENTAL - SSCI","2,740","9.5","Q1","2","44.44"%,
"International Journal of Clinical and Health Psychology","INT J CLIN HLTH PSYC","1697-2600","1576-7329","PSYCHOLOGY, CLINICAL - SSCI","2,086","8.8","Q1","2.93","95"%,
"EDUCATIONAL PSYCHOLOGIST","EDUC PSYCHOL-US","0046-1520","1532-6985","PSYCHOLOGY, EDUCATIONAL - SSCI","8,167","8.8","Q1","2","7.94"%,
"International Journal of Mental Health and Addiction","INT J MENT HEALTH AD","1557-1874","1557-1882","PSYCHOLOGY, CLINICAL - SSCI","7,305","8","Q1","2.05","25.2"%,
"BRITISH JOURNAL OF HEALTH PSYCHOLOGY","BRIT J HEALTH PSYCH","1359-107X","2044-8287","PSYCHOLOGY, CLINICAL - SSCI","4,922","7.9","Q1","1.96","46.43"%,
"Journal of Adolescent Health","J ADOLESCENT HEALTH","1054-139X","1879-1972","PSYCHOLOGY, DEVELOPMENTAL - SSCI","21,226","7.6","Q1","2.14","20.93"%,
"JOURNAL OF CHILD PSYCHOLOGY AND PSYCHIATRY","J CHILD PSYCHOL PSYC","0021-9630","1469-7610","PSYCHOLOGY, DEVELOPMENTAL - SSCI","23,598","7.6","Q1","1.67","33.48"%,
"DEPRESSION AND ANXIETY","DEPRESS ANXIETY","1091-4269","1520-6394","PSYCHOLOGY, CLINICAL - SSCI","12,859","7.4","Q1","1.75","84.23"%,
"INTERNATIONAL PSYCHOGERIATRICS","INT PSYCHOGERIATR","1041-6102","1741-203X","PSYCHOLOGY, CLINICAL - SSCI","10,184","7","Q1","1.24","30.88"%,
"PSYCHOLOGICAL MEDICINE","PSYCHOL MED","0033-2917","1469-8978","PSYCHOLOGY, CLINICAL - SSCI","37,881","6.9","Q1","2.08","40.81"%,
"CLINICAL CHILD AND FAMILY PSYCHOLOGY REVIEW","CLIN CHILD FAM PSYCH","1096-4037","1573-2827","PSYCHOLOGY, CLINICAL - SSCI","3,954","6.9","Q1","1.32","31.9"%,
"Autism in Adulthood","AUTISM ADULTHOOD","2573-9581","2573-959X","PSYCHOLOGY, DEVELOPMENTAL - ESCI","719","6.8","N/A","2.39","12.39"%,
"DEVELOPMENTAL REVIEW","DEV REV","0273-2297","1090-2406","PSYCHOLOGY, DEVELOPMENTAL - SSCI","5,077","6.6","Q1","1.73","20.51"%,
"Child Development Perspectives","CHILD DEV PERSPECT","1750-8592","1750-8606","PSYCHOLOGY, DEVELOPMENTAL - SSCI","4,903","6.4","Q1","1.75","12.93"%,
"EUROPEAN CHILD & ADOLESCENT PSYCHIATRY","EUR CHILD ADOLES PSY","1018-8827","1435-165X","PSYCHOLOGY, DEVELOPMENTAL - SSCI","10,102","6.4","Q1","1.72","49.64"%,
"Psychological Trauma-Theory Research Practice and Policy","PSYCHOL TRAUMA-US","1942-9681","1942-969X","PSYCHOLOGY, CLINICAL - SSCI","6,722","6.3","Q1","1.59","0"%,
"LEARNING AND INSTRUCTION","LEARN INSTR","0959-4752","1873-3263","PSYCHOLOGY, EDUCATIONAL - SSCI","7,769","6.2","Q1","2.96","32.95"%,
"Child and Adolescent Mental Health","CHILD ADOL MENT H-UK","1475-357X","1475-3588","PSYCHOLOGY, CLINICAL - SSCI","1,831","6.1","Q1","0.9","31.21"%,
"JOURNAL OF CONSULTING AND CLINICAL PSYCHOLOGY","J CONSULT CLIN PSYCH","0022-006X","1939-2117","PSYCHOLOGY, CLINICAL - SSCI","22,573","5.9","Q1","1.66","0.79"%,
