"Journal Data Filtered By:  Selected Categories: Multiple Selected Editions: SCIE;SSCI;AHCI;ESCI Selected JCR Year: 2022 Selected Category Schema: WOS Selected Open Access: N Indicator: Default"

Journal name,JCR Abbreviation,ISSN,eISSN,Category,Total Citations,2022 JIF,JIF Quartile,2022 JCI,% of OA Gold
"Nature Food","NAT FOOD","N/A","2662-1355","FOOD SCIENCE & TECHNOLOGY - SCIE","4,491","23.2","Q1","3.58","11.11"%,
"Nature Ecology & Evolution","NAT ECOL EVOL","2397-334X","2397-334X","EVOLUTIONARY BIOLOGY - SCIE","16,845","16.8","Q1","3.93","11.18"%,
"TRENDS IN ECOLOGY & EVOLUTION","TRENDS ECOL EVOL","0169-5347","1872-8383","EVOLUTIONARY BIOLOGY - SCIE","39,957","16.8","Q1","1.89","37.84"%,
"TRENDS IN FOOD SCIENCE & TECHNOLOGY","TRENDS FOOD SCI TECH","0924-2244","1879-3053","FOOD SCIENCE & TECHNOLOGY - SCIE","42,646","15.3","Q1","2.19","13.16"%,
"COMPREHENSIVE REVIEWS IN FOOD SCIENCE AND FOOD SAFETY","COMPR REV FOOD SCI F","1541-4337","1541-4337","FOOD SCIENCE & TECHNOLOGY - SCIE","17,309","14.8","Q1","1.4","11.9"%,
"Annual Review of Food Science and Technology","ANNU REV FOOD SCI T","1941-1413","1941-1421","FOOD SCIENCE & TECHNOLOGY - SCIE","3,770","12.4","Q1","1.38","1.61"%,
"Annual Review of Ecology Evolution and Systematics","ANNU REV ECOL EVOL S","1543-592X","1545-2069","EVOLUTIONARY BIOLOGY - SCIE","21,855","11.8","Q1","1.24","0"%,
"Reviews in Fisheries Science & Aquaculture","REV FISH SCI AQUAC","2330-8249","2330-8257","FISHERIES - SCIE","1,850","11.5","Q1","1.83","15.22"%,
"MOLECULAR BIOLOGY AND EVOLUTION","MOL BIOL EVOL","0737-4038","1537-1719","EVOLUTIONARY BIOLOGY - SCIE","64,994","10.7","Q1","2.19","83.27"%,
"FOOD HYDROCOLLOIDS","FOOD HYDROCOLLOID","0268-005X","1873-7137","FOOD SCIENCE & TECHNOLOGY - SCIE","63,773","10.7","Q1","2.18","11.97"%,
"Reviews in Aquaculture","REV AQUACULT","1753-5123","1753-5131","FISHERIES - SCIE","6,392","10.4","Q1","2.14","18.18"%,
"CRITICAL REVIEWS IN FOOD SCIENCE AND NUTRITION","CRIT REV FOOD SCI","1040-8398","1549-7852","FOOD SCIENCE & TECHNOLOGY - SCIE","36,261","10.2","Q1","1.08","6.74"%,
"Current Opinion in Food Science","CURR OPIN FOOD SCI","2214-7993","2214-8000","FOOD SCIENCE & TECHNOLOGY - SCIE","6,001","9.9","Q1","1.72","19.4"%,
"Food Frontiers","FOOD FRONTIERS","N/A","2643-8429","FOOD SCIENCE & TECHNOLOGY - ESCI","873","9.9","N/A","1.01","82.61"%,
"Current Forestry Reports","CURR FOR REP","2198-6436","2198-6436","FORESTRY - SCIE","1,322","9.5","Q1","2.52","52.24"%,
"Global Food Security-Agriculture Policy Economics and Environment","GLOB FOOD SECUR-AGR","2211-9124","2211-9124","FOOD SCIENCE & TECHNOLOGY - SCIE","5,697","8.9","Q1","1.62","57.51"%,
"Food Chemistry","FOOD CHEM","0308-8146","1873-7072","FOOD SCIENCE & TECHNOLOGY - SCIE","199,618","8.8","Q1","1.87","9.52"%,
"FOOD RESEARCH INTERNATIONAL","FOOD RES INT","0963-9969","1873-7145","FOOD SCIENCE & TECHNOLOGY - SCIE","59,309","8.1","Q1","1.51","14.68"%,
"Food Packaging and Shelf Life","FOOD PACKAGING SHELF","2214-2894","2214-2894","FOOD SCIENCE & TECHNOLOGY - SCIE","6,559","8","Q1","1.72","9.36"%,
"Molecular Ecology Resources","MOL ECOL RESOUR","1755-098X","1755-0998","EVOLUTIONARY BIOLOGY - SCIE","14,786","7.7","Q1","1.62","27.52"%,
"MEAT SCIENCE","MEAT SCI","0309-1740","1873-4138","FOOD SCIENCE & TECHNOLOGY - SCIE","29,254","7.1","Q1","1.52","14.13"%,
"POSTHARVEST BIOLOGY AND TECHNOLOGY","POSTHARVEST BIOL TEC","0925-5214","1873-2356","FOOD SCIENCE & TECHNOLOGY - SCIE","21,271","7","Q1","2.07","10.1"%,
"Food Science and Human Wellness","FOOD SCI HUM WELL","N/A","2213-4530","FOOD SCIENCE & TECHNOLOGY - SCIE","3,107","7","Q1","1.54","95.09"%,
"Antioxidants","ANTIOXIDANTS-BASEL","N/A","2076-3921","FOOD SCIENCE & TECHNOLOGY - SCIE","35,932","7","Q1","1.23","99.3"%,
"FISH AND FISHERIES","FISH FISH","1467-2960","1467-2979","FISHERIES - SCIE","6,905","6.7","Q1","2.15","28.2"%,
"Food Security","FOOD SECUR","1876-4517","1876-4525","FOOD SCIENCE & TECHNOLOGY - SCIE","5,511","6.7","Q1","1.13","50.16"%,
"Innovative Food Science & Emerging Technologies","INNOV FOOD SCI EMERG","1466-8564","1878-5522","FOOD SCIENCE & TECHNOLOGY - SCIE","15,358","6.6","Q1","1.47","15.08"%,
"Food Engineering Reviews","FOOD ENG REV","1866-7910","1866-7929","FOOD SCIENCE & TECHNOLOGY - SCIE","2,256","6.6","Q1","1.22","8.94"%,
"Systematic Biology","SYST BIOL","1063-5157","1076-836X","EVOLUTIONARY BIOLOGY - SCIE","19,649","6.5","Q1","2.06","40.13"%,
"FOOD POLICY","FOOD POLICY","0306-9192","1873-5657","FOOD SCIENCE & TECHNOLOGY - SCIE","10,574","6.5","Q1","1.84","42.55"%,
"URBAN FORESTRY & URBAN GREENING","URBAN FOR URBAN GREE","1618-8667","1610-8167","FORESTRY - SCIE","14,791","6.4","Q1","1.71","17.94"%,
"Trauma Violence & Abuse","TRAUMA VIOLENCE ABUS","1524-8380","1552-8324","FAMILY STUDIES - SSCI","6,116","6.4","Q1","1.5","15.38"%,
"npj Science of Food","NPJ SCI FOOD","N/A","2396-8370","FOOD SCIENCE & TECHNOLOGY - SCIE","899","6.4","Q1","1.05","100"%,
"Current Research in Food Science","CURR RES FOOD SCI","N/A","2665-9271","FOOD SCIENCE & TECHNOLOGY - SCIE","1,240","6.3","Q1","1.27","98.4"%,
"AGRICULTURAL AND FOREST METEOROLOGY","AGR FOREST METEOROL","0168-1923","1873-2240","FORESTRY - SCIE","29,717","6.2","Q1","1.91","26.48"%,
"REVIEWS IN FISH BIOLOGY AND FISHERIES","REV FISH BIOL FISHER","0960-3166","1573-5184","FISHERIES - SCIE","4,690","6.2","Q1","1.39","32.24"%,
"JOURNAL OF AGRICULTURAL AND FOOD CHEMISTRY","J AGR FOOD CHEM","0021-8561","1520-5118","FOOD SCIENCE & TECHNOLOGY - SCIE","151,538","6.1","Q1","1.39","3.75"%,
"Food & Function","FOOD FUNCT","2042-6496","2042-650X","FOOD SCIENCE & TECHNOLOGY - SCIE","33,081","6.1","Q1","1.15","6.98"%,
"JOURNAL OF MARRIAGE AND FAMILY","J MARRIAGE FAM","0022-2445","1741-3737","FAMILY STUDIES - SSCI","12,887","6","Q1","1.78","22.66"%,
"FOOD CONTROL","FOOD CONTROL","0956-7135","1873-7129","FOOD SCIENCE & TECHNOLOGY - SCIE","37,393","6","Q1","1.39","18.83"%,
"LWT-FOOD SCIENCE AND TECHNOLOGY","LWT-FOOD SCI TECHNOL","0023-6438","1096-1127","FOOD SCIENCE & TECHNOLOGY - SCIE","68,170","6","Q1","1.33","39.44"%,
"PERSPECTIVES ON SEXUAL AND REPRODUCTIVE HEALTH","PERSPECT SEX REPRO H","1538-6341","1931-2393","FAMILY STUDIES - SSCI","1,486","5.8","Q1","1.26","19.15"%,
"FOOD REVIEWS INTERNATIONAL","FOOD REV INT","8755-9129","1525-6103","FOOD SCIENCE & TECHNOLOGY - SCIE","5,137","5.8","Q1","0.61","3.57"%,
"Future Foods","FUTURE FOODS","2666-8335","2666-8335","FOOD SCIENCE & TECHNOLOGY - ESCI","691","5.7","N/A","0.9","87.16"%,
"Food and Bioprocess Technology","FOOD BIOPROCESS TECH","1935-5130","1935-5149","FOOD SCIENCE & TECHNOLOGY - SCIE","13,092","5.6","Q1","1.12","11.93"%,
"Journal of Functional Foods","J FUNCT FOODS","1756-4646","2214-9414","FOOD SCIENCE & TECHNOLOGY - SCIE","24,101","5.6","Q1","1.03","96.76"%,
"Food Quality and Safety","FOOD QUAL SAF-OXFORD","2399-1399","2399-1402","FOOD SCIENCE & TECHNOLOGY - SCIE","973","5.6","Q1","0.49","97.78"%,
"JOURNAL OF FOOD ENGINEERING","J FOOD ENG","0260-8774","1873-5770","FOOD SCIENCE & TECHNOLOGY - SCIE","33,881","5.5","Q1","1.16","19.07"%,
"INTERNATIONAL JOURNAL OF FOOD MICROBIOLOGY","INT J FOOD MICROBIOL","0168-1605","1879-3460","FOOD SCIENCE & TECHNOLOGY - SCIE","30,439","5.4","Q1","1.26","21.56"%,
"Food Quality and Preference","FOOD QUAL PREFER","0950-3293","1873-6343","FOOD SCIENCE & TECHNOLOGY - SCIE","14,141","5.3","Q1","1.33","30.55"%,
"FOOD MICROBIOLOGY","FOOD MICROBIOL","0740-0020","1095-9998","FOOD SCIENCE & TECHNOLOGY - SCIE","15,447","5.3","Q1","1.27","25.15"%,
"Evolution Letters","EVOL LETT","N/A","2056-3744","EVOLUTIONARY BIOLOGY - SCIE","1,129","5.3","Q1","1.08","71.32"%,
"MOLECULAR NUTRITION & FOOD RESEARCH","MOL NUTR FOOD RES","1613-4125","1613-4133","FOOD SCIENCE & TECHNOLOGY - SCIE","18,228","5.2","Q1","1.1","20.46"%,
"Food Bioscience","FOOD BIOSCI","2212-4292","2212-4306","FOOD SCIENCE & TECHNOLOGY - SCIE","7,976","5.2","Q1","1.06","3.58"%,
"Foods","FOODS","N/A","2304-8158","FOOD SCIENCE & TECHNOLOGY - SCIE","38,071","5.2","Q1","0.97","99.47"%,
"CHILD MALTREATMENT","CHILD MALTREATMENT","1077-5595","1552-6119","FAMILY STUDIES - SSCI","3,480","5.1","Q1","1.38","8.13"%,
"Journal of Insects as Food and Feed","J INSECTS FOOD FEED","N/A","2352-4588","FOOD SCIENCE & TECHNOLOGY - SCIE","1,810","5.1","Q2","1.33","0"%,
"Fire Ecology","FIRE ECOL","1933-9747","1933-9747","FORESTRY - SCIE","1,394","5.1","Q1","1.3","100"%,
"Food and Energy Security","FOOD ENERGY SECUR","2048-3694","2048-3694","FOOD SCIENCE & TECHNOLOGY - SCIE","1,958","5","Q2","1.08","80.87"%,
"MOLECULAR ECOLOGY","MOL ECOL","0962-1083","1365-294X","EVOLUTIONARY BIOLOGY - SCIE","40,823","4.9","Q1","1.24","27.74"%,
"CHILD ABUSE & NEGLECT","CHILD ABUSE NEGLECT","0145-2134","1873-7757","FAMILY STUDIES - SSCI","19,304","4.8","Q1","1.73","13.88"%,
"SYSTEMATIC ENTOMOLOGY","SYST ENTOMOL","0307-6970","1365-3113","EVOLUTIONARY BIOLOGY - SCIE","3,263","4.8","Q1","1.62","17.88"%,
"FISH & SHELLFISH IMMUNOLOGY","FISH SHELLFISH IMMUN","1050-4648","1095-9947","FISHERIES - SCIE","30,822","4.7","Q1","1.56","5.47"%,
"PROCEEDINGS OF THE ROYAL SOCIETY B-BIOLOGICAL SCIENCES","P ROY SOC B-BIOL SCI","0962-8452","1471-2954","EVOLUTIONARY BIOLOGY - SCIE","60,567","4.7","Q1","1.22","42.2"%,
"Food Structure-Netherlands","FOOD STRUCT-NETH","2213-3291","2213-3291","FOOD SCIENCE & TECHNOLOGY - SCIE","1,019","4.7","Q2","0.89","18.49"%,
"Frontiers in Sustainable Food Systems","FRONT SUSTAIN FOOD S","N/A","2571-581X","FOOD SCIENCE & TECHNOLOGY - SCIE","5,565","4.7","Q2","0.76","99.51"%,
"Food Production Processing and Nutrition","FOOD PROD PROCESS NU","N/A","2661-8974","FOOD SCIENCE & TECHNOLOGY - ESCI","399","4.7","N/A","0.61","98.97"%,
"FOOD AND BIOPRODUCTS PROCESSING","FOOD BIOPROD PROCESS","0960-3085","1744-3571","FOOD SCIENCE & TECHNOLOGY - SCIE","7,179","4.6","Q2","0.95","14.62"%,
"AQUACULTURE","AQUACULTURE","0044-8486","1873-5622","FISHERIES - SCIE","57,034","4.5","Q1","1.63","12.08"%,
"Journal of Family Theory & Review","J FAM THEOR REV","1756-2570","1756-2589","FAMILY STUDIES - SSCI","1,822","4.5","Q1","1.4","14.58"%,
"INTERNATIONAL JOURNAL OF DAIRY TECHNOLOGY","INT J DAIRY TECHNOL","1364-727X","1471-0307","FOOD SCIENCE & TECHNOLOGY - SCIE","3,208","4.4","Q2","0.81","9.89"%,
"FOOD AND CHEMICAL TOXICOLOGY","FOOD CHEM TOXICOL","0278-6915","1873-6351","FOOD SCIENCE & TECHNOLOGY - SCIE","40,463","4.3","Q2","1.11","11.46"%,
"JOURNAL OF FOOD COMPOSITION AND ANALYSIS","J FOOD COMPOS ANAL","0889-1575","1096-0481","FOOD SCIENCE & TECHNOLOGY - SCIE","13,696","4.3","Q2","0.85","11.9"%,
"MEDIA PSYCHOLOGY","MEDIA PSYCHOL","1521-3269","1532-785X","FILM, RADIO, TELEVISION - AHCI","2,951","4.2","N/A","2.86","23.66"%,
"CHEMICAL SENSES","CHEM SENSES","0379-864X","1464-3553","FOOD SCIENCE & TECHNOLOGY - SCIE","5,169","4.2","Q2","0.98","15.09"%,
"Toxins","TOXINS","N/A","2072-6651","FOOD SCIENCE & TECHNOLOGY - SCIE","22,084","4.2","Q2","0.89","99.33"%,
"Forest Ecosystems","FOR ECOSYST","2095-6355","2197-5620","FORESTRY - SCIE","1,543","4.1","Q1","1.52","99.54"%,
"MOLECULAR PHYLOGENETICS AND EVOLUTION","MOL PHYLOGENET EVOL","1055-7903","1095-9513","EVOLUTIONARY BIOLOGY - SCIE","21,268","4.1","Q1","1.07","25.04"%,
"Evolutionary Applications","EVOL APPL","1752-4571","1752-4571","EVOLUTIONARY BIOLOGY - SCIE","6,539","4.1","Q1","1.04","77.6"%,
"JOURNAL OF THE SCIENCE OF FOOD AND AGRICULTURE","J SCI FOOD AGR","0022-5142","1097-0010","FOOD SCIENCE & TECHNOLOGY - SCIE","38,617","4.1","Q2","0.9","4.57"%,
"EvoDevo","EVODEVO","N/A","2041-9139","EVOLUTIONARY BIOLOGY - SCIE","904","4.1","Q1","0.69","100"%,
"TREE PHYSIOLOGY","TREE PHYSIOL","0829-318X","1758-4469","FORESTRY - SCIE","13,887","4","Q1","1.55","12.17"%,
"Forest Policy and Economics","FOREST POLICY ECON","1389-9341","1872-7050","FORESTRY - SCIE","6,573","4","Q1","1.23","28.46"%,
"AQUACULTURAL ENGINEERING","AQUACULT ENG","0144-8609","1873-5614","FISHERIES - SCIE","3,634","4","Q1","0.88","24.47"%,
"PLANT FOODS FOR HUMAN NUTRITION","PLANT FOOD HUM NUTR","0921-9668","1573-9104","FOOD SCIENCE & TECHNOLOGY - SCIE","4,945","4","Q2","0.75","9.51"%,
"JOURNAL OF FOOD BIOCHEMISTRY","J FOOD BIOCHEM","0145-8884","1745-4514","FOOD SCIENCE & TECHNOLOGY - SCIE","8,398","4","Q2","0.66","84.32"%,
"International Journal of Food Science","INT J FOOD SCI","2356-7015","2314-5765","FOOD SCIENCE & TECHNOLOGY - ESCI","1,497","4","N/A","0.57","100"%,
