"Journal Data Filtered By:  Selected Categories: Multiple Selected Editions: SCIE;SSCI;AHCI;ESCI Selected JCR Year: 2022 Selected Category Schema: WOS Selected Open Access: N Indicator: Default"

Journal name,JCR Abbreviation,ISSN,eISSN,Category,Total Citations,2022 JIF,JIF Quartile,2022 JCI,% of OA Gold
"Nature Reviews Nephrology","NAT REV NEPHROL","1759-5061","1759-507X","UROLOGY & NEPHROLOGY - SCIE","15,061","41.5","Q1","6.82","3.31"%,
"EUROPEAN UROLOGY","EUR UROL","0302-2838","1873-7560","UROLOGY & NEPHROLOGY - SCIE","38,094","23.4","Q1","6.82","27.63"%,
"KIDNEY INTERNATIONAL","KIDNEY INT","0085-2538","1523-1755","UROLOGY & NEPHROLOGY - SCIE","53,220","19.6","Q1","4.64","42.76"%,
"Nature Reviews Urology","NAT REV UROL","1759-4812","1759-4820","UROLOGY & NEPHROLOGY - SCIE","6,599","15.3","Q1","2.67","3.85"%,
"JOURNAL OF THE AMERICAN SOCIETY OF NEPHROLOGY","J AM SOC NEPHROL","1046-6673","1533-3450","UROLOGY & NEPHROLOGY - SCIE","46,090","13.6","Q1","4.29","2.04"%,
"AMERICAN JOURNAL OF KIDNEY DISEASES","AM J KIDNEY DIS","0272-6386","1523-6838","UROLOGY & NEPHROLOGY - SCIE","27,334","13.2","Q1","3.41","16.63"%,
"Analytic Methods in Accident Research","ANAL METHODS ACCID R","2213-6657","2213-6665","TRANSPORTATION - SSCI","2,255","12.9","Q1","3.29","6.25"%,
"Annual Review of Pharmacology and Toxicology","ANNU REV PHARMACOL","0362-1642","1545-4304","TOXICOLOGY - SCIE","8,724","12.5","Q1","2.23","2.94"%,
"Journal of Public Transportation","J PUBLIC TRANSPORT","1077-291X","2375-0901","TRANSPORTATION - SSCI","980","12.2","Q1","2.25","83.33"%,
"eTransportation","ETRANSPORTATION","2590-1168","2590-1168","TRANSPORTATION SCIENCE & TECHNOLOGY - SCIE","1,829","11.9","Q1","1.94","21.01"%,
"DRUGS","DRUGS","0012-6667","1179-1950","TOXICOLOGY - SCIE","19,355","11.5","Q1","2.5","26.13"%,
"TRANSPORTATION RESEARCH PART E-LOGISTICS AND TRANSPORTATION REVIEW","TRANSPORT RES E-LOG","1366-5545","1878-5794","TRANSPORTATION - SSCI","17,072","10.6","Q1","2.32","9.33"%,
"TRANSPORTATION RESEARCH PART E-LOGISTICS AND TRANSPORTATION REVIEW","TRANSPORT RES E-LOG","1366-5545","1878-5794","TRANSPORTATION SCIENCE & TECHNOLOGY - SCIE","17,072","10.6","Q1","2.32","9.33"%,
"ENVIRONMENTAL HEALTH PERSPECTIVES","ENVIRON HEALTH PERSP","0091-6765","1552-9924","TOXICOLOGY - SCIE","44,887","10.5","Q1","2.32","94.31"%,
"Particle and Fibre Toxicology","PART FIBRE TOXICOL","1743-8977","1743-8977","TOXICOLOGY - SCIE","5,945","10","Q1","2.04","100"%,
"Clinical Journal of the American Society of Nephrology","CLIN J AM SOC NEPHRO","1555-9041","1555-905X","UROLOGY & NEPHROLOGY - SCIE","22,896","9.8","Q1","2.81","1.94"%,
"TRANSPORT REVIEWS","TRANSPORT REV","0144-1647","1464-5327","TRANSPORTATION - SSCI","5,306","9.8","Q1","1.69","41.54"%,
"COMPUTER-AIDED CIVIL AND INFRASTRUCTURE ENGINEERING","COMPUT-AIDED CIV INF","1093-9687","1467-8667","TRANSPORTATION SCIENCE & TECHNOLOGY - SCIE","7,881","9.6","Q1","1.87","10.57"%,
"LANDSCAPE AND URBAN PLANNING","LANDSCAPE URBAN PLAN","0169-2046","1872-6062","URBAN STUDIES - SSCI","28,597","9.1","Q1","2.28","36.39"%,
"JOURNAL OF HEART AND LUNG TRANSPLANTATION","J HEART LUNG TRANSPL","1053-2498","1557-3117","TRANSPLANTATION - SCIE","14,893","8.9","Q1","2.33","13.83"%,
"AMERICAN JOURNAL OF TRANSPLANTATION","AM J TRANSPLANT","1600-6135","1600-6143","TRANSPLANTATION - SCIE","28,932","8.7","Q1","3.11","72.5"%,
"IEEE TRANSACTIONS ON INTELLIGENT TRANSPORTATION SYSTEMS","IEEE T INTELL TRANSP","1524-9050","1558-0016","TRANSPORTATION SCIENCE & TECHNOLOGY - SCIE","41,731","8.5","Q1","2.16","6.21"%,
"TRANSPORTATION RESEARCH PART C-EMERGING TECHNOLOGIES","TRANSPORT RES C-EMER","0968-090X","1879-2359","TRANSPORTATION SCIENCE & TECHNOLOGY - SCIE","27,164","8.3","Q1","1.81","19.94"%,
"European Urology Oncology","EUR UROL ONCOL","N/A","2588-9311","UROLOGY & NEPHROLOGY - SCIE","2,742","8.2","Q1","2.12","14.29"%,
"IEEE Transactions on Intelligent Vehicles","IEEE T INTELL VEHICL","2379-8858","2379-8904","TRANSPORTATION SCIENCE & TECHNOLOGY - SCIE","2,959","8.2","Q1","1.38","7.46"%,
"IEEE Vehicular Technology Magazine","IEEE VEH TECHNOL MAG","1556-6072","1556-6080","TRANSPORTATION SCIENCE & TECHNOLOGY - SCIE","3,146","8.1","Q1","2.4","6.15"%,
"Infectious Diseases of Poverty","INFECT DIS POVERTY","2095-5162","2049-9957","TROPICAL MEDICINE - SCIE","4,556","8.1","Q1","1.89","100"%,
"Journal of Traffic and Transportation Engineering-English Edition","J TRAFFIC TRANSP ENG","2095-7564","2095-7564","TRANSPORTATION SCIENCE & TECHNOLOGY - ESCI","2,046","7.9","N/A","0.98","90.4"%,
"TRANSPORTATION RESEARCH PART D-TRANSPORT AND ENVIRONMENT","TRANSPORT RES D-TR E","1361-9209","1879-2340","TRANSPORTATION - SSCI","18,796","7.6","Q1","1.6","24.93"%,
"TRANSPORTATION RESEARCH PART D-TRANSPORT AND ENVIRONMENT","TRANSPORT RES D-TR E","1361-9209","1879-2340","TRANSPORTATION SCIENCE & TECHNOLOGY - SCIE","18,796","7.6","Q1","1.6","24.93"%,
"JOURNAL OF TOXICOLOGY AND ENVIRONMENTAL HEALTH-PART B-CRITICAL REVIEWS","J TOXICOL ENV HEAL B","1093-7404","1521-6950","TOXICOLOGY - SCIE","2,313","7.2","Q1","0.84","26.67"%,
"IEEE Transactions on Transportation Electrification","IEEE T TRANSP ELECTR","2332-7782","2332-7782","TRANSPORTATION SCIENCE & TECHNOLOGY - SCIE","7,125","7","Q1","1.6","4.86"%,
"Transport Policy","TRANSPORT POLICY","0967-070X","1879-310X","TRANSPORTATION - SSCI","11,813","6.8","Q1","1.91","19.07"%,
"TRANSPORTATION RESEARCH PART B-METHODOLOGICAL","TRANSPORT RES B-METH","0191-2615","1879-2367","TRANSPORTATION - SSCI","18,547","6.8","Q1","1.66","19.56"%,
"TRANSPORTATION RESEARCH PART B-METHODOLOGICAL","TRANSPORT RES B-METH","0191-2615","1879-2367","TRANSPORTATION SCIENCE & TECHNOLOGY - SCIE","18,547","6.8","Q1","1.66","19.56"%,
"IEEE TRANSACTIONS ON VEHICULAR TECHNOLOGY","IEEE T VEH TECHNOL","0018-9545","1939-9359","TRANSPORTATION SCIENCE & TECHNOLOGY - SCIE","51,904","6.8","Q1","1.53","6.46"%,
"ECOTOXICOLOGY AND ENVIRONMENTAL SAFETY","ECOTOX ENVIRON SAFE","0147-6513","1090-2414","TOXICOLOGY - SCIE","60,090","6.8","Q1","1.51","72.37"%,
"HABITAT INTERNATIONAL","HABITAT INT","0197-3975","1873-5428","URBAN STUDIES - SSCI","10,942","6.8","Q1","1.51","10.86"%,
"CITIES","CITIES","0264-2751","1873-6084","URBAN STUDIES - SSCI","17,709","6.7","Q1","2.07","19.63"%,
"Vehicular Communications","VEH COMMUN","2214-2096","2214-2096","TRANSPORTATION SCIENCE & TECHNOLOGY - SCIE","2,098","6.7","Q2","1.46","13.81"%,
"JOURNAL OF UROLOGY","J UROLOGY","0022-5347","1527-3792","UROLOGY & NEPHROLOGY - SCIE","45,334","6.6","Q1","2.06","3.79"%,
"URBAN FORESTRY & URBAN GREENING","URBAN FOR URBAN GREE","1618-8667","1610-8167","URBAN STUDIES - SSCI","14,791","6.4","Q1","1.71","17.94"%,
"TRANSPORTATION RESEARCH PART A-POLICY AND PRACTICE","TRANSPORT RES A-POL","0965-8564","1879-2375","TRANSPORTATION - SSCI","20,122","6.4","Q1","1.66","17.78"%,
"TRANSPORTATION RESEARCH PART A-POLICY AND PRACTICE","TRANSPORT RES A-POL","0965-8564","1879-2375","TRANSPORTATION SCIENCE & TECHNOLOGY - SCIE","20,122","6.4","Q2","1.66","17.78"%,
"Smart Cities","SMART CITIES-BASEL","N/A","2624-6511","URBAN STUDIES - ESCI","1,303","6.4","N/A","1.45","97.89"%,
"IEEE Open Journal of Vehicular Technology","IEEE OPEN J VEH TECH","N/A","2644-1330","TRANSPORTATION SCIENCE & TECHNOLOGY - ESCI","336","6.4","N/A","1.12","97.4"%,
"JOURNAL OF URBAN ECONOMICS","J URBAN ECON","0094-1190","1095-9068","URBAN STUDIES - SSCI","7,414","6.3","Q1","1.6","19.75"%,
"Railway Engineering Science","RAILWAY ENG SCI","2662-4745","2662-4753","TRANSPORTATION SCIENCE & TECHNOLOGY - ESCI","405","6.3","N/A","1.16","98.82"%,
"TRANSPLANTATION","TRANSPLANTATION","0041-1337","1534-6080","TRANSPLANTATION - SCIE","25,972","6.2","Q1","1.51","8.96"%,
"NEPHROLOGY DIALYSIS TRANSPLANTATION","NEPHROL DIAL TRANSPL","0931-0509","1460-2385","TRANSPLANTATION - SCIE","28,126","6.1","Q1","1.92","23.97"%,
"NEPHROLOGY DIALYSIS TRANSPLANTATION","NEPHROL DIAL TRANSPL","0931-0509","1460-2385","UROLOGY & NEPHROLOGY - SCIE","28,126","6.1","Q1","1.92","23.97"%,
"Journal of Transport Geography","J TRANSP GEOGR","0966-6923","1873-1236","TRANSPORTATION - SSCI","14,469","6.1","Q1","1.81","19.69"%,
"Journal of Urban Management","J URBAN MANAG","2226-5856","2589-0360","URBAN STUDIES - ESCI","858","6.1","N/A","1.56","91.43"%,
"ARCHIVES OF TOXICOLOGY","ARCH TOXICOL","0340-5761","1432-0738","TOXICOLOGY - SCIE","14,795","6.1","Q1","1.24","42.4"%,
"CELL BIOLOGY AND TOXICOLOGY","CELL BIOL TOXICOL","0742-2091","1573-6822","TOXICOLOGY - SCIE","2,915","6.1","Q1","1.1","24"%,
"Automotive Innovation","AUTOMOTIVE INNOV","2096-4250","2522-8765","TRANSPORTATION SCIENCE & TECHNOLOGY - ESCI","645","6.1","N/A","0.87","40.38"%,
"Kidney International Reports","KIDNEY INT REP","2468-0249","2468-0249","UROLOGY & NEPHROLOGY - SCIE","5,267","6","Q1","1.49","92.4"%,
"JOURNAL OF AIR TRANSPORT MANAGEMENT","J AIR TRANSP MANAG","0969-6997","1873-2089","TRANSPORTATION - SSCI","5,785","6","Q2","1.29","9.57"%,
"Journal of Xenobiotics","J XENOBIOTICS","2039-4705","2039-4713","TOXICOLOGY - ESCI","221","6","N/A","1.06","100"%,
"Reviews of Environmental Contamination and Toxicology","REV ENVIRON CONTAM T","0179-5953","2197-6554","TOXICOLOGY - SCIE","3,028","6","Q1","0.7","12.2"%,
"ACCIDENT ANALYSIS AND PREVENTION","ACCIDENT ANAL PREV","0001-4575","1879-2057","TRANSPORTATION - SSCI","29,330","5.9","Q2","2","11.02"%,
"CRITICAL REVIEWS IN TOXICOLOGY","CRIT REV TOXICOL","1040-8444","1547-6898","TOXICOLOGY - SCIE","4,719","5.9","Q1","0.77","42.86"%,
"INFLAMMOPHARMACOLOGY","INFLAMMOPHARMACOLOGY","0925-4692","1568-5608","TOXICOLOGY - SCIE","4,600","5.8","Q1","1.04","12.8"%,
"JOURNAL OF THE AMERICAN PLANNING ASSOCIATION","J AM PLANN ASSOC","0194-4363","1939-0130","URBAN STUDIES - SSCI","5,078","5.6","Q1","1.3","19.59"%,
"Kidney International Supplements","KIDNEY INT SUPPL","2157-1724","2157-1716","UROLOGY & NEPHROLOGY - SCIE","3,169","5.5","Q1","1.87","25"%,
"European Urology Focus","EUR UROL FOCUS","N/A","2405-4569","UROLOGY & NEPHROLOGY - SCIE","4,267","5.4","Q1","1.87","10.86"%,
"Current Tropical Medicine Reports","CURR TROP MED REP","N/A","2196-3045","TROPICAL MEDICINE - ESCI","556","5.4","N/A","1.28","16.05"%,
"MUTATION RESEARCH-REVIEWS IN MUTATION RESEARCH","MUTAT RES-REV MUTAT","1383-5742","1388-2139","TOXICOLOGY - SCIE","3,737","5.3","Q1","0.82","20.2"%,
"Travel Behaviour and Society","TRAVEL BEHAV SOC","2214-367X","2214-3688","TRANSPORTATION - SSCI","2,500","5.2","Q2","1.27","21.59"%,
"CHEMICO-BIOLOGICAL INTERACTIONS","CHEM-BIOL INTERACT","0009-2797","1872-7786","TOXICOLOGY - SCIE","17,189","5.1","Q1","1.17","10.97"%,
"LIVER TRANSPLANTATION","LIVER TRANSPLANT","1527-6465","1527-6473","TRANSPLANTATION - SCIE","11,103","5","Q1","1.32","11.17"%,
"Nanotoxicology","NANOTOXICOLOGY","1743-5390","1743-5404","TOXICOLOGY - SCIE","5,327","5","Q1","0.91","20.59"%,
"Minerva Urology and Nephrology","MINERVA UROL NEPHROL","2724-6051","2724-6442","UROLOGY & NEPHROLOGY - SCIE","1,709","4.9","Q1","1.11","0.85"%,
"World Journal of Mens Health","WORLD J MENS HEALTH","2287-4208","2287-4690","UROLOGY & NEPHROLOGY - SCIE","1,503","4.8","Q1","1.71","99.56"%,
"JOURNAL OF URBAN TECHNOLOGY","J URBAN TECHNOL","1063-0732","1466-1853","URBAN STUDIES - SSCI","1,801","4.8","Q1","1.57","17.28"%,
"PROSTATE CANCER AND PROSTATIC DISEASES","PROSTATE CANCER P D","1365-7852","1476-5608","UROLOGY & NEPHROLOGY - SCIE","3,968","4.8","Q1","1.17","25.38"%,
"Research in Transportation Business and Management","RES TRANSP BUS MANAG","2210-5395","2210-5409","TRANSPORTATION - SSCI","2,402","4.8","Q2","0.9","13.78"%,
"BONE MARROW TRANSPLANTATION","BONE MARROW TRANSPL","0268-3369","1476-5365","TRANSPLANTATION - SCIE","15,725","4.8","Q1","0.88","17.76"%,
"URBAN STUDIES","URBAN STUD","0042-0980","1360-063X","URBAN STUDIES - SSCI","16,650","4.7","Q1","1.21","27.6"%,
"Clinical Kidney Journal","CLIN KIDNEY J","2048-8505","2048-8513","UROLOGY & NEPHROLOGY - SCIE","5,329","4.6","Q1","1.33","92.49"%,
"Current Opinion in Toxicology","CURR OPIN TOXICOL","2468-2020","2468-2020","TOXICOLOGY - ESCI","1,399","4.6","N/A","1.06","24.37"%,
"TRANSPORTATION SCIENCE","TRANSPORT SCI","0041-1655","N/A","TRANSPORTATION - SSCI","8,143","4.6","Q2","1","0"%,
